report,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Uruguay,Nepal,,,,,,1,2,0,0,29,31,9,63,26,25,9,25,15,335,
Uruguay,"Libya, State of",,,,0,0,0,0,,,,,0,587,132,90,0,,,,
Uruguay,Congo,,,,0,0,23591,19116,0,17,39,0,0,21,21388,0,2,0,0,0,
Uruguay,"Palestine, State of",,,,0,0,0,0,0,0,0,0,0,0,0,23,27,47,0,137,
Uruguay,Montenegro,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Uruguay,Central African Republic,,,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,
Uruguay,Nigeria,,,0,90,289,3278,73043,19342,521137,334606,554895,283345,162038,223908,237060,204838,147938,330570,307792,
Uruguay,Antigua and Barbuda,,3,,0,,0,1,0,0,17,0,0,0,0,0,0,0,0,0,
Uruguay,United Arab Emirates,,1983,,1799,1846,,,,41372,3534,6151,3090,2904,26026,34308,18816,9223,11117,6894,
Uruguay,Lesotho,,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,2,0,
Uruguay,Aruba,,69,0,0,0,0,0,3,0,0,480,0,597,0,0,0,0,0,1777,
Uruguay,Netherlands Antilles,,1295,1,26,343,,,,,,,,,,,,,,,
Uruguay,Papua New Guinea,0,,,,,,,0,0,,,,,,,0,0,0,,
Uruguay,Andorra,16,,0,3,0,15,0,52,86,12,47,6,1,29,0,0,1,0,0,
Uruguay,Kuwait,0,,0,1,0,0,0,0,0,0,94,0,7344,0,0,0,11,0,0,
Uruguay,Suriname,57,12,,0,,0,0,25,20,3,122,0,0,5,3,0,40,266,394,
Uruguay,Mauritania,0,0,,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,
Uruguay,Togo,434,583,,548,1219,16,15,0,0,0,4774,2774,5,0,0,0,0,5,0,
Uruguay,Cuba,398,602,898,,,,,,,,,,1590,487,527,479,384,229,270,
Uruguay,Seychelles,0,0,0,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Uruguay,Angola,0,0,0,0,,37299,0,0,0,311401,217486,94,196227,1,333045,343424,156011,334142,0,
Uruguay,Saint Lucia,0,0,0,0,0,,,,0,30,0,0,0,0,6,0,0,,,
Uruguay,Mali,27,0,0,0,0,,0,0,0,,,,0,0,0,0,0,205,0,
Uruguay,Bangladesh,1418,527,429,2189,1316,2970,3736,4526,4205,2993,,4384,,,,,,,,
Uruguay,Qatar,0,230,98,0,146,0,176,246,26008,5084,6395,123868,,61785,2813,133,97,4331,137626,
Uruguay,Sri Lanka,625,507,531,579,943,842,1653,3113,2552,2376,2518,2622,2485,2239,,2220,1774,3843,2494,
Uruguay,Albania,0,12,0,61,0,47,0,0,0,0,0,0,0,0,13,30,0,0,0,
Uruguay,Azerbaijan,0,0,0,0,0,0,0,0,0,0,5,0,0,0,81078,0,0,0,0,
Uruguay,Bahamas,413,3,781,1104,1712,861,1259,1647,2084,1993,526,55,0,0,5,0,0,0,0,
Uruguay,Bahrain,0,0,0,180,0,643,0,0,0,0,0,0,20,41,23220,83,343,722,1192,
Uruguay,Armenia,0,0,0,6,0,3,0,5,3,0,19,0,0,10,10,20,0,27,10,
Uruguay,Barbados,0,0,1,11,71,30,149,28,253,27,17,0,0,2,0,0,0,0,0,
Uruguay,Botswana,0,40,78,59,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,
Uruguay,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,228,3,0,0,0,11,0,
Uruguay,Cambodia,1,39,111,245,476,708,1118,2420,1766,1864,2083,2421,2204,3158,3835,3203,3190,4500,6753,
Uruguay,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,
Uruguay,Dominican Republic,66,158,283,2785,1177,847,1175,1942,1422,3147,3565,1925,2236,1521,2094,2504,2097,1849,2165,
Uruguay,Ethiopia,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,
Uruguay,Fiji,55,0,12,9,21,14,22,29,0,0,32,2,0,0,1,0,0,66,0,
Uruguay,French Polynesia,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,
Uruguay,Georgia,0,17,156,0,0,2,0,71,0,991,817,492,318,46,692,750,568,1602,0,
Uruguay,Gambia,0,0,0,0,0,118,199,82,147,0,0,0,0,0,0,0,0,0,0,
Uruguay,Guyana,5,17,19,4,3,2,0,2901,91,0,7,4,49,25,12,81,32,0,0,
Uruguay,Indonesia,3996,4786,4732,7256,11644,12450,30387,44654,38157,29495,41898,28581,29936,32328,38604,41538,34046,42138,58011,
Uruguay,"Iran, Islamic Republic of",100,59,332,59,87,26,419,97,143,142,8603,12,9595,310,71,19,57,71,34,
Uruguay,Israel,7563,12433,7472,8234,19101,9716,9664,15299,23085,18888,16108,27181,17210,18595,14121,10050,13409,13390,35965,
Uruguay,Côte d'Ivoire,26,74,0,0,0,36,0,70,156,72,35,132,552,2148,61,63,1629,5362,5052,
Uruguay,Jamaica,0,20,2,0,0,0,61,0,0,11,1,0,37,16,1,0,6,3,16,
Uruguay,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,6,8,0,1,1014,0,0,0,
Uruguay,Jordan,27,115,76,205,123,53,92,230,115,441,141,37,92,106,195,273,160,80,166,
Uruguay,Kenya,9,82,76,11,383,0,403,47,0,9,0,142,4,1,2,14,3,2,1,
Uruguay,Lebanon,83,87,11,66,2377,67,93,417,500,3182,5365,573,631,0,928,91,140,223,31,
Uruguay,"Macao, China",2,1,53,19,21,30,5,16,0,0,3,0,0,0,0,0,0,4,0,
Uruguay,Malawi,0,0,0,0,0,0,0,115,445,875,507,514,175,612,998,1113,0,0,176,
Uruguay,Mauritius,77,79,186,402,1142,260,955,157,623,145,346,4,0,0,0,0,0,0,16,
Uruguay,Mexico,341410,65570,66481,89682,169308,99715,207609,270965,293752,308059,298094,218221,168145,221217,223541,193624,170614,231094,260058,
Uruguay,"Moldova, Republic of",0,4,0,22,23,0,0,0,73,29,4,0,0,104,153,110,119,372,15,
Uruguay,Morocco,2531,10724,2581,13137,30015,14353,35063,24253,13749,12550,5909,153,15342,16608,37779,18577,33922,44717,46283,
Uruguay,Mozambique,0,0,0,0,23,0,369,1,0,0,228,0,0,31,0,1211,1217,0,0,
Uruguay,Oman,0,0,0,54,0,0,0,115,188,129,12300,6630,603,774,6375,1214,1432,33377,25244,
Uruguay,Namibia,829,172,118,0,390,1106,1708,3018,1618,231,206,3,122,3786,5183,4098,2676,308,57,
Uruguay,Nicaragua,6,5,9,5,0,1,1,204,350,3,66,98,175,117,40,162,66,121,65,
Uruguay,Niger,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,
Uruguay,Pakistan,2477,2602,4293,5202,9642,7015,12314,13975,18358,18975,8014,6097,6020,9331,9399,6069,4237,6223,8713,
Uruguay,Panama,0,0,29744,44210,64539,71854,98869,128506,139370,121001,95238,72229,68505,99023,78103,64524,48828,66582,98308,
Uruguay,Philippines,6052,3033,2252,2460,3891,4552,7128,13446,14010,28709,20661,12804,9723,11871,14938,10822,5770,8009,9689,
Uruguay,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,90,202,90,0,0,0,
Uruguay,Saint Vincent and the Grenadines,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
Uruguay,Saudi Arabia,123,0,35,1314,150,30,453,1784,7821,13330,22037,10070,4912,10133,6056,3479,23834,7982,72126,
Uruguay,Senegal,0,0,0,1098,96,116,0,1,13,0,0,0,0,9,2,9,0,0,0,
Uruguay,India,23628,26839,31244,48871,70641,45416,78683,133280,138772,163921,217525,165847,139812,190181,190655,154377,98023,150036,153875,
Uruguay,Viet Nam,1150,2383,3424,6055,9221,8653,16355,27383,23102,26246,46224,42491,49653,69633,54349,57926,60095,79628,103114,
Uruguay,Zimbabwe,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,
Uruguay,Trinidad and Tobago,1942,6,0,91,1,3,23250,3834,2716,409,28,972,1695,2053,2169,50,143,376,472,
Uruguay,Tunisia,2202,9464,10127,19412,36,4582,11116,116,11297,18373,9022,83,30,293,1076,3825,1213,287,209,
Uruguay,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Uruguay,"Macedonia, North",42,10,0,0,0,0,50,0,20,0,0,0,117,5889,0,3,0,6,123,
Uruguay,Egypt,292,182,895,201,10056,3133,45033,8721,22051,7595,2502,2492,6983,20071,26372,13369,30619,17863,9872,
Uruguay,"Tanzania, United Republic of",0,0,0,0,0,0,0,4,0,0,0,0,54,37,199,141,0,0,100,
Uruguay,Burkina Faso,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,2,0,
Uruguay,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,22,636,127,38,1754560,0,0,
Uruguay,Zambia,0,0,0,0,0,0,5,0,0,0,0,0,0,214,0,0,0,0,0,
Uruguay,Belarus,3133,2075,30,0,14,0,8214,27353,5433,16819,11801,9342,10542,22578,6463,24265,20703,65,,
Uruguay,Cameroon,0,0,0,0,0,0,78684,0,0,21,0,0,13,0,0,0,25,886,,
Uruguay,Gabon,0,49589,0,0,52,0,0,39,159,281,190,1899,77,119,26010,59,39,48,,
Uruguay,Honduras,16,11,25,2,24,42,124,430,178,517,668,440,1711,976,1494,30,125,15,,
Uruguay,Russian Federation,110672,143508,22332,89752,81572,172709,44256,39992,200678,80368,59772,32074,32501,30413,33036,30171,44516,51114,,
Uruguay,Eswatini,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,,
Uruguay,Ghana,29,0,0,0,1,206,0,29,20,0,0,0,1,1727,1376,0,,,,
Uruguay,Algeria,0,0,9775,985,2904,77,2172,5669,2720,1261,1108,3275,5795,1718,,,,,,
Uruguay,Saint Kitts and Nevis,0,0,0,0,0,37,1,0,0,265,2,163,0,0,,,,,,
Uruguay,Guinea,0,0,0,0,0,0,0,0,0,26,0,0,0,,,,,,,
Uruguay,Yemen,0,0,0,0,0,0,0,0,0,102179,0,0,,,,,,,,
Uruguay,"Venezuela, Bolivarian Republic of",1920,1324,2140,66786,2452,1434,5188,7323,7170,1274,,,,,,,,,,
Uruguay,Syrian Arab Republic,0,342,28,0,346,0,0,,,,,,,,,,,,,
Uruguay,Faroe Islands,0,0,0,0,57,59,,,,,,,,,,,,,,
Uruguay,Serbia and Montenegro,18,,,,,,,,,,,,,,,,,,,
