report,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Trinidad and Tobago,Mozambique,0,0,0,0,0,0,0,0,0,57,0,1,224,539,0,0,8,0,0,
Trinidad and Tobago,Oman,0,0,0,0,5,33,317,19,0,0,45,1004,214,469,928,806,2197,24373,1502,
Trinidad and Tobago,Namibia,0,2,0,0,0,1,0,12,10,0,5,4,6,0,0,13,0,4,63,
Trinidad and Tobago,Nicaragua,0,15,23,1,1,907,1589,1010,2111,759,473,562,593,181,537,13,40,104,133,
Trinidad and Tobago,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,
Trinidad and Tobago,Pakistan,634,1017,1663,5355,5368,4528,3401,3269,4076,4463,7760,5322,4130,4674,4396,8427,3934,4701,2523,
Trinidad and Tobago,Panama,1612,3540,96039,115826,133560,129398,146468,165763,193465,203062,212622,215410,187963,190098,195562,185074,169028,170529,222098,
Trinidad and Tobago,Philippines,350,150,289,1212,449,267,335,767,624,905,659,632,354,407,689,438,619,324,458,
Trinidad and Tobago,Rwanda,0,0,0,0,0,3,1,0,0,38,0,0,0,0,0,0,0,0,0,
Trinidad and Tobago,Saint Vincent and the Grenadines,3621,4900,5619,7023,9107,10095,6666,5871,6752,9227,7794,8661,6850,4866,3837,3727,4918,2580,2770,
Trinidad and Tobago,Saudi Arabia,0,0,50,0,54,31,321,84,0,697,388,573,390,405,386,301,688,1195,58180,
Trinidad and Tobago,Senegal,0,0,0,0,18,0,14,0,0,161,0,203,879,68,146,285,0,0,0,
Trinidad and Tobago,India,26484,54327,111225,38471,363583,197145,57474,77686,82647,101766,105971,103398,81472,92150,84001,85863,71169,92290,104068,
Trinidad and Tobago,Viet Nam,983,993,1333,1265,5959,3852,3687,3583,5427,5153,9099,7005,9530,7985,0,0,0,0,0,
Trinidad and Tobago,Zimbabwe,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,173,0,
Trinidad and Tobago,Trinidad and Tobago,49,245,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trinidad and Tobago,Tunisia,0,0,14,176,94,58,0,0,0,0,33,0,0,26,0,29,95,81,0,
Trinidad and Tobago,Uganda,11,0,0,865,598,10,0,217,51,0,0,290,36,0,0,0,0,0,0,
Trinidad and Tobago,"Macedonia, North",0,0,0,0,0,0,4,4,0,0,0,0,0,0,104,57,27,11,29,
Trinidad and Tobago,Egypt,12609,0,0,79,904,592,966,672,837,709,1623,1330,921,900,1116,1391,960,3030,1706,
Trinidad and Tobago,"Tanzania, United Republic of",0,0,0,19,11,139,0,0,0,11,3,0,36,13,293,0,14,0,0,
Trinidad and Tobago,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,
Trinidad and Tobago,Uruguay,9119,7902,12235,6872,7751,8431,8214,6756,7616,10067,12744,13804,12277,13429,15789,9252,11438,17301,14981,
Trinidad and Tobago,Zambia,0,0,0,0,0,4,15,0,0,0,0,0,6,0,0,0,0,0,0,
Trinidad and Tobago,Belarus,0,0,0,0,0,113,0,115,0,0,0,708,56,42,92,169,77,18,,
Trinidad and Tobago,Cameroon,0,0,0,0,0,0,0,0,0,3,0,1,11,0,0,0,0,0,,
Trinidad and Tobago,Gabon,1872,0,3307,22186,162773,0,377202,404980,504475,949193,939983,671589,480688,367273,379297,19589,193,83,,
Trinidad and Tobago,Honduras,4207,132,3436,3578,1333,3898,5642,6427,3931,6597,4863,4039,5827,6111,4708,6058,5241,2710,,
Trinidad and Tobago,Russian Federation,11730,8069,4520,1925,456724,607104,51827,419308,182861,756114,348990,248246,728547,729250,558337,42886,19678,2346,,
Trinidad and Tobago,Eswatini,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
Trinidad and Tobago,Ghana,18,4,1,16,5,0,0,17,24,112,26,33,378,81,15,54,,,,
Trinidad and Tobago,Algeria,0,0,0,0,0,0,0,0,0,1,50,52,4,0,,,,,,
Trinidad and Tobago,Saint Kitts and Nevis,631,692,632,161,194,183,606,1183,913,1564,1510,1853,2684,2170,,,,,,
Trinidad and Tobago,Yemen,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,
Trinidad and Tobago,"Venezuela, Bolivarian Republic of",52528,141539,67032,264519,38523,36975,27255,4476,40315,61603,,,,,,,,,,
Trinidad and Tobago,Syrian Arab Republic,0,12222,348,857,77,114,178,,,,,,,,,,,,,
