reporter,Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Switzerland,Sierra Leone,,,,,,,,,,,95,3870,214,2189,453,,,,,
Switzerland,Haiti,,,,,,,,,,657,1154,662,154,194,,,,,,
Switzerland,Palau,,,,,,,,,2,,0,0,0,14,0,,,,,
Switzerland,Bermuda,,,,,,,,,235,0,0,264,0,46,967,126,64,31,0,
Switzerland,Sudan,,,,,,,,,1,3063,655,2040,861,566,4,,,,,
Switzerland,Myanmar,,,,,,,1594,1570,3352,635,2142,10341,8504,5358,8503,8938,1456,1261,1220,
Switzerland,Lao People's Democratic Republic,,,,,,,14196,14184,9170,7869,24521,20485,23837,23810,23357,58105,35205,115937,,
Switzerland,Nepal,,,,,,3254,2905,2993,1862,3194,3227,3053,5589,3259,3563,3931,3463,3728,4372,
Switzerland,Tonga,,,,,0,0,0,0,0,0,11,,,0,0,0,0,0,0,
Switzerland,Afghanistan,,,,,0,0,264,0,190,0,0,69,26,1,4,11,,,,
Switzerland,"Libya, State of",,,,37042,293845,0,0,,,,,2538,117,85763,16,42,,,,
Switzerland,Congo,,,,4828,9481,40319,105654,7150,4810,3252,1531,5952,12203,812,112,47,114,32,42,
Switzerland,"Palestine, State of",,,,94,117,173,369,445,368,312,301,368,310,309,512,300,442,471,717,
Switzerland,Vanuatu,,,14,0,,0,0,0,,,,,,,,,,,,
Switzerland,Montenegro,,,692,1102,2629,310,2913,20256,3370,3524,4829,4077,4784,3841,7063,8016,7842,50671,113530,
Switzerland,Central African Republic,,,5786,11880,4088,823,1120,334,1024,31,0,0,0,222,768,3028,3266,1046,3262,
Switzerland,Nigeria,,,10255,114252,181317,30758,102221,508327,72965,85005,4701,154009,0,189,432,107,6407,7390,202678,
Switzerland,Antigua and Barbuda,,3,,135,,189,5,52,4,8,0,58,9,3,20,70,0,6,0,
Switzerland,United Arab Emirates,,996286,,1814421,2729671,,,,18018599,3404768,4651235,4131837,7424957,3686722,9413861,13656257,9848704,8716940,9748040,
Switzerland,Kiribati,,0,,0,9,0,16,0,0,0,0,0,0,0,0,,0,0,,
Switzerland,Lesotho,,0,0,0,0,8,0,231,0,0,0,0,9,0,65,0,13,1,0,
Switzerland,Aruba,,3,14,12,8,85,231,457,81,304,89,0,151,0,0,0,0,0,0,
Switzerland,Bhutan,,0,1,0,57,11,12,1,9,,,,,,,,,,,
Switzerland,Netherlands Antilles,,26,13,56,94,,,,,,,,,,,,,,,
Switzerland,Cook Islands,,20,,,,,,,,,,,,,,,,,,
Switzerland,Papua New Guinea,17197,,,,,,,50463,22192,,,,,,,87660,110465,163769,,
Switzerland,Andorra,383,,2475,626,579,1059,4269,5017,4739,3276,1543,675,579,562,738,233,1398,1160,455,
Switzerland,Kuwait,5339,,6420,12905,912,13007,11489,7510,3256,26221,24389,26664,26658,27171,22060,49476,14762,13035,24839,
Switzerland,Timor-Leste,37,1,,,,,,,,2,,,,0,0,0,0,106,0,
Switzerland,Guinea-Bissau,0,0,,,,,,,,3,0,0,0,0,0,,,,,
Switzerland,Suriname,266,3150,,138507,,156458,179043,231103,531684,494028,261236,289,368978,1088077,389431,93164,3,1131846,1408417,
Switzerland,Mauritania,1716,0,,0,120801,167162,237421,334443,281387,332607,365848,296575,254015,306281,325184,624163,503659,19,219332,
Switzerland,Togo,1346,473,,246,956,4048,1642,26869,27053,27811,16252,5635,1788,1362,1066,1152,1443,1122,3091,
Switzerland,Comoros,0,0,,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,
Switzerland,Cuba,25067,14392,11378,,,,,,,,,,15766,21833,21686,36996,18102,12651,10299,
Switzerland,Seychelles,0,234,237,,2625,28519,2699,8354,2358,1868,1737,1874,2289,1792,271,128,826,200,215,
Switzerland,Mongolia,2122,4183,6368,1756,,,2910,18028,8925,3080,28072,109168,1014,658,739,74986,1681589,869738,1030719,
Switzerland,Angola,53,192,243,53046,,34825,70780,134064,186847,218946,225023,117331,11156,3916,73118,17057,714,132,5379,
Switzerland,Saint Lucia,0,0,0,6,154,,,,115,144,145,217,228,324,111,93,20,,,
Switzerland,Mali,201787,325949,22639,65556,49033,,241579,279244,303597,,,,428189,407788,1239829,1297641,1486320,1420742,1124408,
Switzerland,Grenada,0,6,17,201,338,,358,836,313,41,0,0,87,0,51,11,7,3,0,
Switzerland,Dominica,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,35,2,7,
Switzerland,Bangladesh,22374,21923,32101,43092,59439,75253,94774,126310,116381,102476,,121203,,,,,,,,
Switzerland,Qatar,12344,29234,12190,3669,142470,46158,16824,8904,30072,96194,137705,170216,,121153,210640,220758,165686,316459,666436,
Switzerland,Sri Lanka,31083,37086,52654,52433,72927,52300,67471,87895,93983,122767,142288,103249,103550,101934,,121378,103622,138394,164550,
Switzerland,Albania,574,401,668,840,4803,12785,64227,52313,18868,41264,18415,19090,20739,11361,27176,8009,5811,13732,7931,
Switzerland,Azerbaijan,2487,1712,4827,5253,1123,1903,12638,86084,1215,1510,78062,13948,24900,169030,162937,178904,214895,272549,430478,
Switzerland,Bahamas,159,0,85,79,3750,602,481,143,447,444,30,87,119,174,107,35,10,47,3,
Switzerland,Bahrain,1139,2862,2192,6134,8133,9908,18251,13904,24625,10425,20730,13609,7969,12401,7193,10137,7476,8660,25298,
Switzerland,Armenia,45345,34634,72072,49203,12109,25204,16883,33669,71395,24679,13963,40774,95043,246467,337386,457816,453935,359469,254559,
Switzerland,Barbados,124,937,3987,2091,8318,1266,943,102,10149,662,908,1105,887,1721,127,801,79,11,10,
Switzerland,Botswana,193,483,6,21793,51679,31267,72650,89817,113071,143730,281746,271276,188640,142023,168367,176609,33934,32734,43579,
Switzerland,Brunei Darussalam,38,528,13,175,251,178,83,73,28,65,12,243,942,123387,1224,445,0,593,333,
Switzerland,Burundi,46344,41219,15802,17042,21736,20666,31815,33866,605,15399,23471,2810,22469,8865,9478,10313,8013,3189,10111,
Switzerland,Cambodia,8774,8554,7968,9040,9507,11715,16006,24433,21250,24507,23291,23132,21462,15606,15080,20234,15453,10366,9275,
Switzerland,Benin,1977,4888,1185,447,40,541,2104,165,2761,4437,12831,7429,3475,6861,2573,841,2,11,463,
Switzerland,Dominican Republic,13816,10252,12074,12038,14934,9031,10012,9263,14445,41447,249498,69435,340641,244595,150061,783949,1165455,961459,1036044,
Switzerland,Ethiopia,57431,33907,8,57495,97367,102856,122306,127597,173698,155421,144982,142666,110696,111567,1437,1778,3067,3654,3214,
Switzerland,Fiji,72,22,145,105,39,39,2,147,253,72,35,45,26,99,36,14,20,39,13,
Switzerland,French Polynesia,1012,939,654,1026,969,147,18,136,27,208,72,28,52,232,220,80,20,63,36,
Switzerland,Georgia,17754,3256,1918,1366,940,2291,481,1792,12857,3268,13593,11615,49788,66130,62483,71658,96875,73225,90061,
Switzerland,Gambia,375,0,0,0,0,45,29,16,102,0,0,0,26,50,0,70,38,0,0,
Switzerland,Guyana,6,56,27,178,174,48,2,67,231,0,308,0,22080,19535,23912,20997,0,0,76,
Switzerland,Indonesia,148181,130638,237101,314269,421435,181160,175064,123695,58503,81946,133901,1071672,2199902,1244839,669931,740723,2398172,1315640,1882908,
Switzerland,"Iran, Islamic Republic of",29409,24527,21702,18766,20049,24755,22788,21384,20118,9789,10748,10691,16023,12885,5853,3444,4610,10350,4131,
Switzerland,Israel,782172,900307,809138,1036139,1210408,942215,1047514,1437860,1131091,1375497,1424628,1495381,1466214,1456164,1358256,1073201,445130,742764,1530322,
Switzerland,Côte d'Ivoire,50856,23239,31029,32495,74012,219136,170355,164458,268905,252520,407451,457200,496178,468252,427846,598419,804956,831656,1321893,
Switzerland,Jamaica,639,776,1009,18818,861,1202,552,1353,1920,301,908,549,607,202,83,1353,8834,27221,1445,
Switzerland,Kazakhstan,3760396,5509511,6721180,7475877,11281326,2668219,1234987,4952837,4965171,4313587,4539256,2659306,2687769,3100689,2880962,2669391,1523086,1078054,1101750,
Switzerland,Jordan,49087,4656,273507,45542,55555,111081,140636,80653,29616,10318,2550,3744,3333,2127,2572,29600,245529,65196,6701,
Switzerland,Kenya,16065,22272,43607,46146,44116,13637,21604,92775,36970,47925,52246,51644,47751,31383,34761,23390,25304,44074,37637,
Switzerland,Kyrgyzstan,101761,65273,207699,226129,440477,444827,387890,873636,547900,513197,575608,562114,648020,489263,164,4097,7402,54567,447,
Switzerland,Lebanon,185898,125077,450988,308144,328987,777448,502588,514891,547663,180268,91855,66533,97484,133562,135336,1061805,1058610,428714,156197,
Switzerland,"Macao, China",2464,2363,1244,2362,764,124,363,363,99,1352,863,154,22,155,634,615,2484,603,939,
Switzerland,Malawi,18850,35119,7417,9187,35968,52582,14012,18971,89319,15056,26510,13828,8729,6222,5677,28688,26395,36738,12850,
Switzerland,Maldives,220,9,4,1,0,389,785,509,1179,2082,3629,4321,4190,5487,5657,3418,2954,2798,3518,
Switzerland,Mauritius,23449,21818,20800,26688,32775,23837,33410,40974,30994,25705,27526,28548,41578,27423,29488,24695,21360,25319,26903,
Switzerland,Mexico,801436,117461,94746,219863,601952,433110,862966,1207543,823722,1111828,1492644,1763121,715900,751077,843982,706027,977449,1212800,1336312,
Switzerland,"Moldova, Republic of",1102,7384,14229,22579,39696,21599,17443,7954,5114,47801,49237,35370,44498,44055,60117,85380,61398,118855,64491,
Switzerland,Morocco,109948,112872,160592,170586,271041,229676,274398,250929,228233,198907,142271,117341,139321,164747,136815,153869,159863,271317,211093,
Switzerland,Mozambique,1451,3123,52636,6932,14330,9589,7832,99812,87166,79347,87888,19554,17028,21104,18657,21367,24865,37135,142243,
Switzerland,Oman,3381,3428,8992,34805,7327,11289,29965,2493,3192,6276,7177,4392,144,3890,12030,4230,6205,12102,10113,
Switzerland,Namibia,5769,7549,23998,29109,196270,29895,50325,76658,206938,556765,725245,706252,909670,492357,67610,21905,3273,3249,1877,
Switzerland,Nicaragua,4458,3389,288,212,444,96,91,274,729,503,701,1279,1518,1267,1439,1299,1133,26888,34359,
Switzerland,Niger,17010,65074,38375,56440,39645,44288,74721,90627,85657,55872,32264,138,41604,38120,209116,3,14,24,256,
Switzerland,Pakistan,31230,34915,31446,18944,20993,14005,15728,12588,14498,12890,13744,15091,20557,13083,17213,13902,14678,15759,15200,
Switzerland,Panama,18,173,3473,3912,2925,4519,15277,16022,22384,34505,34491,25707,20312,46440,47324,44977,17394,28473,49423,
Switzerland,Philippines,28843,29567,36077,41176,47631,52968,103504,271932,391463,285579,247853,276209,415620,370073,364443,427329,454567,532438,556489,
Switzerland,Rwanda,3405,10842,13164,13323,18225,12238,54374,75464,74814,113972,77136,56365,63573,64204,66167,54187,15535,26039,41015,
Switzerland,Saint Vincent and the Grenadines,0,0,0,4,0,0,0,0,0,0,0,0,299,0,0,13,3522,0,0,
Switzerland,Sao Tome and Principe,0,0,0,0,0,0,0,4,26,123,434,424,33,83,24,1,0,84,79,
Switzerland,Saudi Arabia,384002,151481,472897,121256,329804,241360,174558,258860,276858,124059,87996,109347,254385,363850,617690,490443,611855,913075,824854,
Switzerland,Senegal,6710,3621,46354,44565,6519,157145,165454,221476,334153,263070,272269,225045,268398,303745,543103,613135,486479,354383,665866,
Switzerland,India,475856,495605,459541,570928,704234,677677,618877,1017729,1170063,1777826,1129006,937802,1034040,995666,1231723,1277418,1247873,1290286,1340107,
Switzerland,Viet Nam,135145,103998,156107,237495,522015,2499717,2651988,1188503,397725,288331,265216,230719,593483,240127,171463,1561706,269394,241615,183858,
Switzerland,Zimbabwe,179719,112064,50314,130952,31210,169567,20010,19634,15804,3642,516,272,600,3,66,43,1482,5612,11486,
Switzerland,Trinidad and Tobago,308,72,187,79797,288,244,68281,6188,15965,68766,14231,62198,19775,33116,30625,37590,48315,4790,14772,
Switzerland,Tunisia,39395,48259,258405,262883,456039,133340,263698,219190,748817,678473,275103,126642,177819,306139,151358,86612,124321,203322,162680,
Switzerland,Uganda,108779,74857,45432,86621,155709,86535,57536,119170,123525,158285,55554,36997,34587,17747,10645,16432,9656,27242,30123,
Switzerland,"Macedonia, North",6761,7802,10289,10800,16154,17396,18846,31493,33348,42202,52464,43201,29194,2300,47180,39969,43923,61669,66637,
Switzerland,Egypt,27943,12462,242170,100637,23984,738491,398107,272452,344540,98055,35457,223019,493475,357023,212122,23449,134192,23332,169443,
Switzerland,"Tanzania, United Republic of",30195,145938,359812,437982,629962,584690,710367,916321,798581,404709,148968,153933,618745,260994,257046,322291,858701,526945,360403,
Switzerland,Burkina Faso,38807,89194,110203,126730,189368,440704,816624,1603551,1404567,1375641,1420322,1101824,1500448,1657688,1723860,1790151,3342903,3680446,3130307,
Switzerland,Uruguay,3882,25007,54921,76034,85976,76469,87462,109466,136536,123722,95138,88243,61578,67501,34174,18128,15189,22354,23104,
Switzerland,Samoa,0,5,0,0,0,2,0,0,0,0,0,1,9,1,7,25,214,109,177,
Switzerland,Zambia,253247,755667,1496290,1978186,2443448,1723060,3117944,4405329,3966892,3917967,4329003,3303296,2559060,3644395,3822432,2899572,3589581,4723507,4505556,
Switzerland,Belarus,4353,4762,6207,9190,9350,5936,145351,7956,6504,7162,5247,3772,5388,15069,24782,22526,28394,13899,,
Switzerland,Cameroon,29,104,6429,38583,25,465,67,77,10441,101,176,170,92,257,28,82,578,704,,
Switzerland,Gabon,53479,273413,156426,48,24358,309,163047,15168,60382,45891,43898,41105,33002,33917,42,107215,7648,67,,
Switzerland,Honduras,2367,5012,4485,6960,6725,6130,2504,2987,4118,2620,4207,6412,3745,4679,12535,7464,14360,45264,,
Switzerland,Russian Federation,7724119,10781703,12093012,13857540,10302830,6515231,8596660,8928667,10457369,8656012,3574067,2611708,3109873,3852449,4776680,3672073,2881704,2821568,,
Switzerland,Eswatini,0,0,3272,1138,114,347,171,40,0,34,297,245,459,57,1154,764,1115,2960,,
Switzerland,Ghana,113779,138974,245402,210165,100684,515493,215488,865865,1212356,1172029,1154061,1356234,1868672,1660098,1631724,2465917,,,,
Switzerland,Solomon Islands,0,0,0,285,0,11853,0,0,0,2308,585,3917,14532,19336,13868,,,,,
Switzerland,Greenland,0,0,0,264,0,0,58,4540,12288,12099,0,3,0,0,0,,,,,
Switzerland,Algeria,133065,232919,90696,11338,109602,138405,116616,324336,8790,891,45149,6829,92109,30607,,,,,,
Switzerland,Saint Kitts and Nevis,0,0,0,0,52,11,1,0,0,4,6,2,2,0,,,,,,
Switzerland,Guinea,39,14657,11458,34270,278424,291723,506202,373310,588504,456986,106568,27115,185037,,,,,,,
Switzerland,New Caledonia,0,1,0,4,4,5550,42,474,23,1,1044,337,,,,,,,,
Switzerland,Yemen,23572,295264,238010,433942,185232,17913,674,27223,96244,41670,459,37,,,,,,,,
Switzerland,"Venezuela, Bolivarian Republic of",66140,109212,16007,87616,99654,6634,31411,16122,643,5090,,,,,,,,,,
Switzerland,Sudan (before 2012),210,1359,798,597,60,42,0,0,,,,,,,,,,,,
Switzerland,Syrian Arab Republic,29409,14355,901,349,403,145,748,,,,,,,,,,,,,
Switzerland,Mayotte,0,0,0,0,0,0,,,,,,,,,,,,,,
Switzerland,Serbia and Montenegro,24151,,,,,,,,,,,,,,,,,,,
