report,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
United Kingdom,Lithuania,494092,554685,623296,782087,1115484,724654,1018670,1104747,1858057,1601901,1229173,1135951,1063901,1025775,1272813,1257644,1394953,1590096,1623971,1620880
United Kingdom,Peru,1153737,232894,331345,244395,377481,228953,304563,426707,610033,612182,606891,478390,576593,729375,696642,451451,426577,1298385,1940920,1276596
United Kingdom,Latvia,524605,521238,460193,540325,348819,228915,310558,365843,412552,488648,677974,602080,641139,675422,858318,813140,870829,1490890,1191166,1009210
United Kingdom,Slovenia,357830,444558,587498,719921,697683,528890,597625,688019,591734,585685,619678,593087,591320,608634,678614,658654,596937,765229,746093,838435
United Kingdom,New Zealand,964723,1009344,1097245,1208536,1191849,1066284,1101986,1544649,1129757,1146825,1286823,1168775,1019579,995842,1046298,950244,965592,950492,896937,814264
United Kingdom,Bulgaria,248327,259280,388664,461979,471976,321692,400909,526588,511040,623103,650194,650614,653907,736359,821906,783384,759574,0,0,773951
United Kingdom,Argentina,406723,374544,490633,693415,814217,761806,755742,786998,818080,645918,885492,719887,697207,785321,833530,733543,626024,760520,683939,603874
United Kingdom,Chile,868715,621735,675493,738814,692869,619492,610291,719967,724189,721522,732669,660438,648963,608255,719991,979969,666325,708351,817923,584322
United Kingdom,Iceland,550082,550419,539712,630866,621612,518165,465306,481974,497288,473791,567379,551386,503894,455661,552523,541229,508935,572535,667202,583351
United Kingdom,Serbia,,,117310,150074,152328,107335,155406,185215,143961,169943,153741,196771,265595,315522,317601,364032,332463,421941,480929,464848
United Kingdom,Colombia,279721,319954,394963,409710,676576,746619,663153,1196013,1128599,1115789,1090186,632792,481857,403093,420778,470398,377185,451048,614136,453213
United Kingdom,Estonia,226338,273996,239744,305930,335847,183473,227332,336057,336615,390537,380262,362199,318499,324178,375133,329316,390878,783163,498760,420789
United Kingdom,Luxembourg,604582,656482,650996,755219,820115,499338,562736,566519,487745,483444,549938,486117,451505,482727,522624,504421,466360,415953,444792,419257
United Kingdom,Ukraine,339635,358216,388181,324826,640565,346280,506517,485742,551439,547230,589211,367993,317795,480033,584567,628358,667049,1083532,440861,359525
United Kingdom,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730664,492101,679231,342940
United Kingdom,Ecuador,72598,69343,68799,94461,156937,98519,84399,139062,164953,186041,175797,165987,139303,199416,189708,166061,229411,287844,274326,282961
United Kingdom,Croatia,95997,124786,193042,240421,336012,222954,175092,199745,193622,273161,201819,231293,192095,237115,258322,269607,294305,252535,250544,268971
United Kingdom,Costa Rica,128166,125720,146210,182732,169030,126570,160392,255436,242882,231089,243065,177503,181045,205784,202704,222184,231287,230509,225044,259391
United Kingdom,Cyprus,319429,260256,206655,206232,175571,110965,114733,174376,163300,277205,279909,141720,356918,190005,202072,209927,203918,250341,244827,237092
United Kingdom,Paraguay,945,2016,3277,10421,10488,5567,13832,4957,8856,28767,47001,88853,123370,80897,104142,80308,116033,105627,93671,120223
United Kingdom,"Bolivia, Plurinational State of",53646,59181,80265,106302,91632,74364,101414,156272,108361,105952,122740,79774,77036,49965,42138,32605,44263,111746,162702,118371
United Kingdom,Malta,301884,268243,268986,306403,242392,138253,169729,203296,159884,142857,132094,140306,117531,88676,73050,62894,53950,121610,171759,107182
United Kingdom,Guatemala,8367,13191,13802,19582,24156,26714,47004,37863,39720,48091,61910,111023,105737,100984,77958,98618,79907,94317,90719,102166
United Kingdom,Madagascar,20125,16040,30705,42154,31266,34973,35347,25803,23013,30653,48267,41077,39283,44328,40841,45552,27316,27175,47508,53533
United Kingdom,Bosnia and Herzegovina,18042,44529,10791,15301,46382,16910,21331,19003,19283,29352,33969,37483,28832,48312,56297,47659,64663,54634,40782,44023
United Kingdom,Belize,41287,43934,44310,47990,57927,76876,68581,60325,77544,89161,89793,81897,69839,76785,73833,82007,62709,60584,57848,43890
United Kingdom,El Salvador,6999,8988,9097,8406,7901,7699,15450,15163,17292,14652,9030,9971,26807,12197,20896,8642,10252,19684,25524,23585
United Kingdom,Cabo Verde,0,1934,10159,2145,9,475,1958,1169,164,5,0,0,0,0,0,0,0,0,0,0
United Kingdom,Cayman Islands,,,,,,,,,,,,,,,,,2760,1563,,
United Kingdom,Liberia,,,,,,,,,,,,,,805,2771,6593,22195,17,18,
United Kingdom,Uzbekistan,,,,,,,,,,,,,,21714,134265,93883,16971,11220,23019,
United Kingdom,Curaçao,,,,,,,,,,,,,,222,336,317,1070,,,
United Kingdom,"Congo, Democratic Republic of the",,,,,,,,,,,,10193,697,4889,1935,1899,3109,1293,1052,
United Kingdom,Tajikistan,,,,,,,,,,,620,868,641,748,2985,1859,1370,1055,468,
United Kingdom,Sierra Leone,,,,,,,,,,,3176,34682,4046,8518,1885,,,,,
United Kingdom,Iraq,,,,,,,,,,,30,,,,,,,,,
United Kingdom,Haiti,,,,,,,,,,85,185,29,3167,3745,,,,,,
United Kingdom,Palau,,,,,,,,,22,,0,0,0,0,0,,,,,
United Kingdom,Bermuda,,,,,,,,,706,14772,667,1040,429,512,1409,1085,293,797,3230,
United Kingdom,Sudan,,,,,,,,,8385,16096,13510,90274,8893,15895,8673,,,,,
United Kingdom,Myanmar,,,,,,,35243,97365,10053,56144,58285,36183,68986,288875,420714,535864,488347,393466,623245,
United Kingdom,Lao People's Democratic Republic,,,,,,,53786,37699,13688,59840,42353,41980,24850,21034,20322,22891,23401,21798,,
United Kingdom,Nepal,,,,,,18466,17673,19816,13746,19472,20583,20658,24655,25418,26081,22146,17147,23542,23779,
United Kingdom,Djibouti,,,,,,18,,,,,,,,,,,,,,
United Kingdom,Tonga,,,,,1,1,1,2,1,17,4,,,1,14,1,1,1,0,
United Kingdom,Afghanistan,,,,,2518,294,2050,1699,1300,2410,494,517,1690,870,1540,1688,,,,
United Kingdom,"Libya, State of",,,,917472,1392767,1037650,390252,,,,,91963,396901,1305106,823640,384256,,,,
United Kingdom,Congo,,,,16147,26432,51243,29138,423913,113566,404583,113614,14336,76565,102626,27223,70876,90660,33429,21846,
United Kingdom,"Palestine, State of",,,,992,2967,710,1141,1794,2637,2929,3403,4535,6175,6335,6466,5719,8310,10163,7187,
United Kingdom,Vanuatu,,,440,155,,615,282,766,,,,,,,,,,,,
United Kingdom,Montenegro,,,2124,3834,5860,2683,5491,6149,5859,4424,6920,6139,3559,5369,7259,6403,3346,1389,3685,
United Kingdom,Central African Republic,,,354,68,2,331,134,2971,11,0,0,0,0,0,0,33,11,59,370,
United Kingdom,Nigeria,,,31944,283286,1341726,1052162,1267361,7809065,9042007,4596636,4997564,2095874,1225753,1106634,1929857,1163479,826298,1128590,1260566,
United Kingdom,Antigua and Barbuda,,20168,,4130,,9984,6849,2419,5375,6812,6155,6797,32040,13020,692,217,192,214,1220,
United Kingdom,United Arab Emirates,,283374,,435676,502743,,,,1874555,2689058,2504860,1908571,2720625,3554420,3594744,2664894,2205834,2597000,2318637,
United Kingdom,Kiribati,,0,,0,61,0,37,0,0,0,0,0,16,25,0,,0,0,,
United Kingdom,Lesotho,,0,0,4926,769,617,453,1278,1266,1028,930,103,624,652,212,903,709,1665,658,
United Kingdom,Aruba,,633,1077,658,28,501,359,522,13,12,122,0,0,0,0,0,0,0,0,
United Kingdom,Bhutan,,113,142,90,2,71,2,559,1,,,,,,,,,,,
United Kingdom,Netherlands Antilles,,2119,395,156,587,,,,,,,,,,,,,,,
United Kingdom,Papua New Guinea,56844,,,,,,,175758,146985,,,,,,,86383,92208,127403,,
United Kingdom,Andorra,215,,2544,326,477,155,290,254,85,4502,925,927,306,323,342,2008,810,9344,12174,
United Kingdom,Kuwait,12539,,25004,12423,64678,61948,5389,3827,9035,69421,8699,32637,47633,29805,26129,19238,16543,23977,25621,
United Kingdom,Timor-Leste,9,11,,,,,,,,7,,,,3,104,28,33,216,60,
United Kingdom,Suriname,779,1255,,228,,810,952,518,340,485,372,111,74,302,224,778,149,1213,1842,
United Kingdom,Mauritania,7161,10528,,31162,36152,20140,1930,1243,6572,8244,5153,37,1760,16,38,199,1765,20236,24371,
United Kingdom,Togo,116,1686,,69,392,328,1938,2905,590,2192,1536,3290,1846,544,1370,885,1070,781,423,
United Kingdom,Comoros,0,0,,0,74,23,76,179,144,74,68,57,0,13,93,63,464,838,,
United Kingdom,Cuba,13313,12379,11686,,,,,,,,,,17766,12813,10039,9286,9260,42741,7220,
United Kingdom,Seychelles,96310,96860,90879,,43859,67817,77529,96428,116783,114324,109942,84276,74857,77244,163763,124757,75731,58797,62441,
United Kingdom,Mongolia,137355,87101,38595,17248,,,30078,19974,11898,200739,398740,337680,786876,660536,172856,291092,84071,10137,12396,
United Kingdom,Angola,7597,13809,13116,0,,287007,77152,348431,1288477,838968,292919,1142662,411204,372794,443274,69121,19110,27363,1381366,
United Kingdom,Saint Lucia,22275,16692,19407,13526,24810,,,,6003,13743,16722,28338,8461,11218,10521,7775,6048,,,
United Kingdom,Mali,154,495,19611,26477,1271,,15597,7814,1431,,,,1299,3121,1609,1462,1123,1929,3716,
United Kingdom,Grenada,1406,150,228,298,486,,251,242,359,576,1511,724,888,867,1118,1119,302,345,440,
United Kingdom,Montserrat,266,239,198,166,119,153,,,48,8,1,48,8,4,17,57,9,,0,
United Kingdom,Dominica,7428,6889,7653,5187,5326,3777,1702,462,340,405,,,259,257,244,801,402,308,264,
United Kingdom,Bangladesh,947365,946504,1050582,1253504,1332145,1483687,1707025,2306383,2561657,2432741,,3499880,,,,,,,,
United Kingdom,Qatar,66834,15598,11928,77133,104020,1337246,3535521,8008156,4571683,3855683,3027827,3481441,,1588555,1107702,1874915,1145659,2923070,8556731,
United Kingdom,Sri Lanka,774254,774838,878867,1017161,1090109,1024061,1021905,1110297,1061572,1076692,1117947,1028277,1045080,1043182,,1000952,956067,1003025,966041,
United Kingdom,Albania,196,899,618,2430,862,1328,2368,1597,2183,13724,4199,3603,4292,4050,10609,6723,6921,8911,7228,
United Kingdom,Azerbaijan,6599,4500,5596,3083,925926,196883,6442,15872,326657,484522,126534,10497,79942,41293,261680,457751,157622,396742,779724,
United Kingdom,Bahamas,14308,8885,21799,9925,8924,19030,30763,31607,12339,30537,5029,6097,13434,9375,9354,4727,2876,20756,4611,
United Kingdom,Bahrain,14957,22304,20956,21180,23735,16729,18970,41522,30650,36805,41993,30525,34661,28729,35465,26873,46155,74405,94132,
United Kingdom,Armenia,1171,373,7377,2740,40692,1497,232,326,942,16238,433,1590,1577,4702,7566,4449,5393,7550,12824,
United Kingdom,Barbados,29830,31761,33025,28579,41156,32817,52639,55035,31253,8462,15718,14046,16235,15912,8448,8957,8652,4784,6220,
United Kingdom,Botswana,2615412,3351240,3258145,3298304,2749780,1836435,2605753,3678898,4022799,3713339,78677,62963,92376,41135,54487,21159,2521,3842,8822,
United Kingdom,Brunei Darussalam,21331,12476,10042,8589,11079,5919,10351,11297,10087,10089,6887,12645,33015,11371,16444,18617,4168,13788,23921,
United Kingdom,Burundi,4063,9132,3981,7650,175,559,15793,17622,903,2177,1177,203,1199,5104,4573,3918,2744,3729,4728,
United Kingdom,Cambodia,175240,124238,153243,147585,155918,180022,235466,391142,482409,686424,751612,869039,946867,1013901,1015995,979868,830923,731842,886424,
United Kingdom,Benin,2322,658,659,223,193,1252,2574,1721,743,4286,28199,536,66,144,299,763,2948,8175,1759,
United Kingdom,Dominican Republic,55057,73888,61249,80708,71525,91457,101838,117395,111818,114646,169569,127022,216410,134535,105129,109736,104375,86885,88214,
United Kingdom,Ethiopia,22189,16294,38,29822,42979,55014,55136,65992,46419,48420,41258,40256,49190,55082,41314,38161,28532,37289,46778,
United Kingdom,Fiji,88344,106213,75481,106116,136975,94386,42272,79065,101725,58598,105552,39304,34742,50954,3998,14363,47455,13474,2530,
United Kingdom,French Polynesia,90,949,1028,512,523,206,16409,59,38,140,81,190,495,457,108,13954,60,199,495,
United Kingdom,Georgia,31674,31931,19460,23171,43576,8186,17867,13843,20854,29682,24743,16427,9233,9866,13140,23783,11292,13821,8763,
United Kingdom,Gambia,7893,977,5549,2598,1382,4918,8868,2254,4357,1083,711,2005,89,83,154,127,95,41,277,
United Kingdom,Guyana,64562,105478,115725,124941,140411,111799,48150,77606,114610,116387,97077,91224,77053,127071,46805,25076,84567,292475,448531,
United Kingdom,Indonesia,1295259,1291477,1432384,1454160,1546859,1459347,1693164,1719718,1696755,1634805,1658607,1527088,1590412,1407592,1466108,1351507,1283654,1476609,1664077,
United Kingdom,"Iran, Islamic Republic of",52779,74678,71353,107411,87040,44258,50720,37126,39258,108512,72461,35836,41426,48549,29021,17352,12884,15049,11807,
United Kingdom,Israel,1447895,1649755,1601833,1937983,1892421,1424910,2269631,3424705,3568975,3853192,3973619,3992379,3908937,5168083,4409682,4992268,3712658,2057546,3121130,
United Kingdom,Côte d'Ivoire,138999,104217,310764,300342,277008,260379,279727,127277,257785,247527,230254,287500,320007,356759,281319,335973,392318,472206,443501,
United Kingdom,Jamaica,149554,162340,204667,215994,225311,129641,83903,111644,44891,81217,74315,77248,49834,51508,54983,57095,56950,63835,77958,
United Kingdom,Kazakhstan,240091,320505,1143876,1133234,1811204,1235083,1379479,1619185,1694562,1504766,631485,828820,890582,926763,793926,497202,687972,855071,1462882,
United Kingdom,Jordan,12832,16917,20310,25160,28332,20837,23501,37616,41404,32053,35987,36255,52978,40191,47459,24420,27787,33254,87197,
United Kingdom,Kenya,282086,314336,380414,427745,550593,498117,507209,528768,481314,436703,407850,415200,370421,372904,396703,391955,469157,450997,378289,
United Kingdom,Kyrgyzstan,282,2298,5187,8951,3487,5936,9349,2455,1732,790,3076,1802,32009,191218,669985,833230,989957,234233,432,
United Kingdom,Lebanon,21249,28818,31547,73896,58872,39314,48684,61175,46016,38221,39044,46777,37989,37401,39678,36178,33703,30705,34012,
United Kingdom,"Macao, China",126562,93674,101855,100686,39600,11467,8986,5154,2438,3641,3092,1701,46,933,38,2722,124,256,101,
United Kingdom,Malawi,47811,57702,89418,57677,78491,50425,64149,110346,41187,68658,65462,61254,50141,32879,33125,27964,46700,28921,34334,
United Kingdom,Maldives,12461,14549,13193,12386,9644,7663,7077,8665,11991,9083,6769,8390,5772,11395,16763,11317,11657,10394,13542,
United Kingdom,Mauritius,636725,640490,704884,695092,709360,480418,438913,480786,423427,388831,361791,309630,263812,250601,223249,208443,155315,154879,151587,
United Kingdom,Mexico,773099,1188482,924937,1562932,1749340,1242898,1732810,2157768,2602962,1434189,1802678,1968332,3231750,2274542,2213478,2817780,2616812,2991825,2874175,
United Kingdom,"Moldova, Republic of",10016,11137,27335,34120,52263,60310,82107,101734,83890,105475,108170,138157,114311,136149,78817,49936,42765,65378,62006,
United Kingdom,Morocco,757150,709374,780714,779792,690253,467199,515542,604878,597066,593750,714720,616097,669906,605773,830129,727720,566658,1197087,1609592,
United Kingdom,Mozambique,2616,8165,16309,24685,10240,28722,1363,198723,177194,48952,209903,80874,59187,210825,212488,220188,373428,372258,994307,
United Kingdom,Oman,68062,70389,96264,115244,120032,110203,105055,198127,99758,84029,95820,46739,0,113688,199366,158993,152658,159808,305430,
United Kingdom,Namibia,529352,514278,865189,682879,709709,608780,735885,848759,631650,135072,56677,70385,47888,43535,469520,49848,38073,52000,75850,
United Kingdom,Nicaragua,17487,21802,22024,17527,31683,18275,24542,38463,48126,45692,46676,56844,55891,80219,72135,57890,61758,56800,62859,
United Kingdom,Niger,4316,1735,1864,555,387,386,495,1603,468,324,578,197,23,63,39,29,39,29,52,
United Kingdom,Pakistan,949616,907496,935871,967379,1000423,942610,1113869,1258789,1247437,1431956,1654645,1572801,1557630,1637489,1739452,1682328,1726855,2110649,2037900,
United Kingdom,Panama,6565,18440,37471,62872,63928,13138,11262,13303,18975,25382,15522,10251,14372,1554,10761,11989,23991,26321,23602,
United Kingdom,Philippines,554752,436810,484100,478974,482784,296703,394945,400779,656580,577761,464207,477825,475800,480562,519601,492458,404850,474022,544941,
United Kingdom,Rwanda,7465,28151,29501,34406,13462,4752,10947,17360,10248,7358,9443,11816,6060,36799,40407,38566,29537,44741,17752,
United Kingdom,Saint Vincent and the Grenadines,12274,10651,9677,9423,4717,3682,4532,912,774,618,890,638,1633,392,413,347,217,270,462,
United Kingdom,Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,26,0,0,0,
United Kingdom,Saudi Arabia,483228,410920,438593,439365,344603,298875,504575,673799,582345,823311,826500,560490,390654,418052,642993,644616,374089,2352237,2788009,
United Kingdom,Senegal,6724,7116,7384,14065,13351,79801,19655,36061,29987,42224,42149,41763,53849,60778,59999,62480,62952,69819,73524,
United Kingdom,India,3409431,4958861,5383829,6286914,6597521,6528851,6436413,8879115,8100177,10559406,9665339,8889807,8564111,8957197,9767380,8797200,7767620,10374395,11235450,
United Kingdom,Viet Nam,1010301,1015760,1179695,1431320,1581045,1329234,1681884,2398191,3033601,3696265,3647172,4645220,4898077,5415116,5779271,5760278,4951457,5765718,6063074,
United Kingdom,Zimbabwe,75280,93924,187500,128600,48883,56664,95937,33148,2047,2276,6754,2104,1854,1349,3046,1273,663,1201,1182,
United Kingdom,Trinidad and Tobago,101847,73733,113418,226335,334851,409907,226809,358172,294285,475183,222371,207000,115723,125048,110414,89496,108609,56626,185954,
United Kingdom,Tunisia,278458,279343,340034,652777,898585,686651,824824,499453,529112,644719,711997,438585,237044,325062,275484,324056,276353,270270,458431,
United Kingdom,Uganda,29438,26831,29959,53284,118391,52424,36871,60839,58022,47518,33274,29271,16458,13771,9660,8609,11755,9998,20451,
United Kingdom,"Macedonia, North",42460,42942,36555,75957,70087,42917,59288,54305,62928,80909,68860,47124,58369,4818,121322,160537,162438,210820,170367,
United Kingdom,Egypt,149765,179100,458302,393796,931725,871000,813365,965894,840534,969826,1010992,946012,1055837,1099754,1347947,1553880,763688,1056955,1577738,
United Kingdom,"Tanzania, United Republic of",471932,132119,70052,29546,83881,32826,34291,30279,47384,55448,46622,23041,21821,20731,22259,15372,14510,19460,19129,
United Kingdom,Burkina Faso,4781,11239,39572,27004,19120,31049,38033,19352,26660,8636,48582,31315,37669,12199,31333,20544,4197,6048,5722,
United Kingdom,Uruguay,91515,85271,95991,120471,172269,141711,108590,121821,118220,86572,87359,63241,60535,48567,57454,43568,42850,72614,99356,
United Kingdom,Samoa,645,51,0,2,59,89,39,23,97,210,116,58,56,141,40,48,23,0,256,
United Kingdom,Zambia,274444,76737,99632,55540,115062,87561,134962,332439,311799,149297,97815,80060,244460,185647,356921,31249,9495,12264,21807,
United Kingdom,Belarus,1147563,1120398,1474915,1528933,1415531,803666,935245,399921,546830,1014166,2923966,2928879,1076844,2381739,3072590,2292722,803657,147892,,
United Kingdom,Cameroon,97735,132684,70175,56319,0,0,51123,0,81865,80416,218315,97368,24097,24854,26327,41211,15944,22837,,
United Kingdom,Gabon,4858,1611,74362,97425,1978,112781,79127,10410,82547,122249,414491,210573,180803,99536,244179,124220,104163,61293,,
United Kingdom,Honduras,6743,5918,19339,23544,42627,78482,63626,41849,78306,69810,67210,73015,76105,92979,76888,36357,112882,133366,,
United Kingdom,Russian Federation,5640218,8280331,10391217,9902298,14904714,9073000,9695647,10349919,12561813,12354672,7503797,7457613,6996918,8746712,9769710,13272051,23158449,22274620,,
United Kingdom,Eswatini,135,128375,4574,1303,11901,21646,60049,11422,13058,11033,37264,12938,28913,10146,20379,10848,45679,40058,,
United Kingdom,Ghana,201336,217086,144759,209788,140472,162287,175766,355985,245356,279437,517259,314859,95176,329470,491544,415118,,,,
United Kingdom,Solomon Islands,4,1,1205,10048,18,756,16520,14455,40216,29832,28988,29472,19309,3669,6053,,,,,
United Kingdom,Greenland,3115,3588,7784,5121,9938,2790,1591,92,0,2,191,0,0,3,3,,,,,
United Kingdom,Algeria,497393,691288,1623795,1576789,2241412,1141756,1290000,2855041,3668058,7202280,5072669,2429917,1061293,1606170,,,,,,
United Kingdom,Saint Kitts and Nevis,7972,660,891,779,2285,372,237,105,77,370,17,53,268,195,,,,,,
United Kingdom,Guinea,2874,26043,192,6476,262,96,1167,1911,2128,215,621,3892,147,,,,,,,
United Kingdom,New Caledonia,54,81,347,76,320,32214,69,43,907,3786,315,230,,,,,,,,
United Kingdom,Yemen,15292,11574,401177,11200,20649,27188,72019,137511,9229,5639,2140,8981,,,,,,,,
United Kingdom,"Venezuela, Bolivarian Republic of",537343,968436,776737,368024,1190369,3065,26337,6654,253,4318,,,,,,,,,,
United Kingdom,Sudan (before 2012),77972,84547,37066,14292,7629,23197,36242,6831,,,,,,,,,,,,
United Kingdom,Syrian Arab Republic,394189,259847,473845,116348,178337,152040,125181,,,,,,,,,,,,,
United Kingdom,Faroe Islands,157525,170989,171856,178351,172301,131898,,,,,,,,,,,,,,
United Kingdom,Mayotte,0,0,0,0,10,0,,,,,,,,,,,,,,
United Kingdom,Serbia and Montenegro,88439,,,,,,,,,,,,,,,,,,,
