reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Nigeria,Norway,278,181,1198,1455,1352,1198,1132,141963,1647,307099,166887,26223,19444,50739,1807,253185,339769,22202,3805
Nigeria,Singapore,39847,2484,4123,5707,7047,3685,36840,64158,4411,3020,6100,15339,14243,57742,107390,347606,437591,878112,282772
Nigeria,"Taipei, Chinese",290190,141,62466,349851,838190,508977,437977,1036537,1444670,727861,570989,48910,261688,439822,175685,120967,201658,591193,481781
Nigeria,Colombia,274,21248,242,40780,452,525,460,467,401,137,70,84,208,74,10651,456,491,2510,14918
Nigeria,Türkiye,33723,31420,87469,147371,79188,146863,220546,365549,113175,164743,160134,189985,157814,156286,143432,156021,128978,99048,99969
Nigeria,Denmark,759,619,3626,1919,488,125,403,600,95199,805327,489149,350042,48800,55772,82319,221343,274863,232501,952
Nigeria,Australia,92,151,153,162,735,203246,763299,2110200,2677467,1819147,1468894,467,901,368050,505046,492642,247788,80365,276091
Nigeria,Serbia,,,624,159,324,55,274,448,4098,1952,937,1659,29341,1068,540,663,1541,1745,329
Nigeria,Argentina,15362,477,589,613,1387,1023,2598,207437,57082,258905,597797,886910,405324,462918,285034,1921,37,17951,116515
Nigeria,Croatia,120,110,59,85,284,159,348,217,88871,60927,131008,38987,135,111,744,25641,20521,149109,17450
Nigeria,Lithuania,10,115,129,16,28,129,58,60,52,19,16,51472,3,16689,475,153,415,818,3927
Nigeria,"Hong Kong, China",19211,25408,52621,48569,43440,31884,40043,56798,51976,105543,74020,44372,59821,69584,31040,28826,12487,12820,28539
Nigeria,Romania,1675,681,249,2381,1358,11287,995,2406,4688,3526,2366,2044,1281,1972,76575,4341,2740,5000,4525
Nigeria,Ukraine,1193,1894,1147,604,734,3999,13572,12718,6737,9628,7910,2280,729,931,1231,3041,3482,8258,4198
Nigeria,Czech Republic,8967,1406,2873,4701,32440,610,1438,2340,4618,6144,2145,2480,5620,10249,8638,101481,35715,62576,46427
Nigeria,Bulgaria,24,309,3394,8838,622,307,0,92,1635,1113,17225,2158,1968,1161,1670,1757,10580,18329,7835
Nigeria,Ireland,1789,1252,701,822,504,12599,524,469709,869570,281826,246987,136750,18980,132341,32130,580,722,4287,6783
Nigeria,El Salvador,0,0,4973,6791,34932,3094,18159,6607,12388,6,160,306,427,420,679,1347,1012,1024,5159
Nigeria,Estonia,824,897,344,560,862,1169,4354,16324,14467,15235,2087,8828,11902,21237,11265,11552,2199,1174,2456
Nigeria,Ecuador,53,30289,65204,32663,18098,57390,46872,56814,118,14,1,3,0,28498,0,3,4,979,1288
Nigeria,Chile,538034,445891,705052,437369,884,18019,1070,102,92,178,155,3116,7,3,47,106,28,69749,57304
Nigeria,Cyprus,60,199,31,12,13,551,34,386,641,445,487,497,628,1151,1014,1139,1079,821,1150
Nigeria,Austria,207724,545424,650858,162937,262204,240023,482817,1082408,1169020,1267830,442947,53886,4026,254415,241523,135488,135166,2676,5135
Nigeria,Luxembourg,122,14,115,31,53,32,5,1731,44,44,13,26,44,28,56,21,12,30,187
Nigeria,Finland,270,167,266,432,231,71,115,31577,983,1152,1886,7558,8675,500,175,340,207,729,1666
Nigeria,Hungary,69,139,8,30,263,44,396,25,32,1672,111,21,115,82,286,899,1167,3529,5253
Nigeria,Latvia,0,53,19,13,27,120,78,107,96,156,91,68,52,72,242,302,269,329,605
Nigeria,Cabo Verde,2,0,12,0,0,1099,311,0,39,32,0,53,12,34,10,7,2,1,1
Nigeria,Slovakia,8,82,74,188,41,47,1097,5291,7314,5469,4932,1597,1167,5088,3958,3460,1200,104,462
Nigeria,Bosnia and Herzegovina,0,18,3,29,22,13,58,42,29,37,75,136,150,404,431,480,384,382,212
Nigeria,Costa Rica,1,55,0,1,6567,8785,4,32,12,9,13,1,0,44,101,9,50,110,725
Nigeria,Madagascar,137,101,157,40,35,26,73,0,3348,2337,2817,1591,160,1673,30,97,283,78,143
Nigeria,Guatemala,20,25,17919,26930,37715,2585,42019,11691,24072,340,237,745,439,915,7725,12288,2989,2316,5612
Nigeria,Slovenia,93,19,22,130,501,20,39,31,82,68,67,92,218,83,57,59,241,5654,5702
Nigeria,"Bolivia, Plurinational State of",8,0,9,9,3,17,23,9,0,13,22,15,11,1,14,29,0,1456,1360
Nigeria,Malta,1,1,0,3,60,39,5,3,45,179,10,34,1686,7,15965,27,19,75,38
Nigeria,Belize,1,0,0,0,874,69,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Iceland,0,6,8,20,2,2,17,86,18,5,4,4,3,21,6,9,12,29,25
Nigeria,New Zealand,42657,95454,51,61378,103,50355,11,13,135593,82999,25427,41,8,2298,14,107,76,56,94
Nigeria,Paraguay,1,0,0,0,1,1,0,71,1,0,16,0,0,0,0,0,0,105,4099
Nigeria,Cayman Islands,,,,,,,,,,,,,,,,,4,5,
Nigeria,Liberia,,,,,,,,,,,,,,2155,5385,1969,2037,3389,2398
Nigeria,Uzbekistan,,,,,,,,,,,,,,2,2,2,0,8,0
Nigeria,Curaçao,,,,,,,,,,,,,,0,0,0,3,,
Nigeria,"Congo, Democratic Republic of the",,,,,,,,,,,,2618,4025,1383,1479,3616,3843,4903,4664
Nigeria,Sierra Leone,,,,,,,,,,,8021,1973,9301,5818,4108,,,,
Nigeria,Iraq,,,,,,,,,,,66,,,,,,,,
Nigeria,Haiti,,,,,,,,,,7,435,107,25,156,,,,,
Nigeria,Bermuda,,,,,,,,,1,1,0,0,0,0,1,3,2,4,28
Nigeria,Sudan,,,,,,,,,1066,401,1511,2283,9888,12996,9634,,,,
Nigeria,Myanmar,,,,,,,0,0,0,0,0,0,780,803,980,3490,517,5417,22374
Nigeria,Nepal,,,,,,0,0,254,116,117,68,0,119,3059,1074,722,1791,598,951
Nigeria,"Libya, State of",,,,194,478,542,441,,,,,0,0,270,854,44,,,
Nigeria,Congo,,,,476810,50802,118363,123479,882234,218369,217842,3581,12369,7565,119279,37365,18981,22911,24389,3266
Nigeria,"Palestine, State of",,,,0,0,332,498,1024,719,1569,3629,2503,1325,1525,1929,1043,1225,476,573
Nigeria,Montenegro,,,1,12,2,0,19,9,13,1,2,0,10,9,21,6,5,2,18
Nigeria,Central African Republic,,,2,286,124,40,28,521,435,187,14,14,34,124,1173,1050,453,24252,426
Nigeria,Antigua and Barbuda,,50,,63,,41,47,40,58,27,67,74,119,56,99,131,38,113,141
Nigeria,United Arab Emirates,,32693,,82448,94266,,,,430072,275126,439014,547430,726939,608030,619387,371709,317237,238723,550100
Nigeria,Kiribati,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,
Nigeria,Lesotho,,0,0,0,0,0,9,2,7,18,4,14,18,4,2,3,1,4,1
Nigeria,Netherlands Antilles,,0,1,0,7,,,,,,,,,,,,,,
Nigeria,Papua New Guinea,0,,,,,,,249,3,,,,,,,0,3,2,
Nigeria,Andorra,0,,0,0,5,14,0,3,1,0,0,4,0,1,3,1,0,0,0
Nigeria,Kuwait,315,,414,1344,3,241,506,594,2004,2445,3607,709,2616,4294,5377,4850,3404,3278,4570
Nigeria,Timor-Leste,0,0,,,,,,,,0,,,,0,17,0,0,0,0
Nigeria,Guinea-Bissau,0,0,,,,,,,,957,0,0,25,34,0,,,,
Nigeria,Suriname,0,0,,0,,1,76,17,0,0,551,4,11,83,24,19,22,36,39
Nigeria,Mauritania,266,33,,0,501,6,12,568,1101,378,23,16,287,659,726,1151,1153,184,91
Nigeria,Togo,6300,4922,,11951,39768,35015,12153,20264,16714,16088,12757,13262,30106,48489,169531,100882,77430,52243,121004
Nigeria,Cuba,0,0,0,,,,,,,,,,14,0,3831,0,0,12416,0
Nigeria,Seychelles Metadata,0,1,0,,1,22,9,21,5,3,12,7,34,9,62,42,14,73,55
Nigeria,Mongolia,0,0,0,0,,,0,0,0,0,0,0,5,1,2,3,5,4,5
Nigeria,Angola,5429,12754,23788,8932,,74200,6466,10439,14808,6183,6292,1784,3678,5219,4207,4621,4376,4032,8414
Nigeria,Saint Lucia,0,5,0,0,0,,,,23,0,2,1,0,0,3,12,6,,
Nigeria,Mali,5045,33609,2414,1718,2670,,7831,5816,2470,,,,1813,1098,17006,22438,14976,14160,48148
Nigeria,Grenada,0,0,0,0,1,,0,0,0,0,2,0,0,16,2,1,0,24,1
Nigeria,Montserrat,0,0,0,0,0,0,,,0,0,1,1,0,0,1,2,0,,0
Nigeria,Dominica,0,0,0,6,0,0,0,0,1,0,,,0,1,0,0,4,2,2
Nigeria,Bangladesh,8483,15070,13223,18275,21163,15391,18604,16938,11398,5114,,5469,,,,,,,
Nigeria,Qatar,30,116,57,136,53,207,106,199,87,1156,1881,529,,720,1366,631,640,167,2122
Nigeria,Sri Lanka,557,764,165,274,1301,140,5,923,198,1130,652,878,346,2594,,7021,1306,157,233
Nigeria,Albania,0,0,0,32,1,0,1,0,0,2,24,21,28,10,2377,425,501,494,1
Nigeria,Azerbaijan,16,0,2,4,4,16,5,7,0,1,21,9,48,44,41,301,191,73,41
Nigeria,Bahamas,0,5,6,19,185,421,410,675,947,1770,0,6802,0,17,2,1,3,4,4
Nigeria,Bahrain,74,64,2,0,132,0,149,204,188,573,1138,2389,7268,9653,7126,8378,3104,3374,10397
Nigeria,Armenia,0,0,0,3,3,0,201,699,423,687,1275,717,635,700,565,2443,869,691,1704
Nigeria,Barbados,2,3,38,4,6,6,30,7,2,7,3,10,4,28,16,18,5,3,21
Nigeria,Botswana,145,149,209,320,251,267,292,309,222,557,364,218,262,94,164,81,212,111,104
Nigeria,Brunei Darussalam,24,18,27,3,1,19,34,1,2,0,0,1,10,5,128,286190,60638,158963,1
Nigeria,Burundi,22,60,15,4,3,8,28,213,99,13,37,30378,49,23,73,440,260,5,54
Nigeria,Cambodia,0,2,0,0,77,1,0,0,0,0,0,49,65,182,536,503,35,357,305
Nigeria,Benin,35929,26780,41318,70378,61936,48507,89986,89722,101263,72611,76198,80323,36562,67825,80188,148284,99189,124804,111497
Nigeria,Dominican Republic,18,10,0,24201,48,12,22,2032,11,2,5,756,6,162490,425512,195521,84,960,1659
Nigeria,Ethiopia,99,250,790,61,216,11,45,4,696,4408,3522,10552,7159,55403,4793,417,262,633,135
Nigeria,Fiji,0,0,0,0,0,0,48,9,0,2,0,0,0,0,9,0,0,0,0
Nigeria,French Polynesia,0,12,2,0,1,3,1,25,39,26,42,30,33,19,28,36,21,57,47
Nigeria,Georgia,0,7,0,0,43,40,1,33,7,19,3,1209,16,17,16,18,3,44,214
Nigeria,Gambia,425,491,358,2715,4765,2180,201,378,244,221,471,472,760,653,1996,2912,1691,1199,1001
Nigeria,Guyana,27,0,0,0,1,0,0,0,0,0,0,0,0,82,3158,51,241,38,38
Nigeria,Indonesia,1076504,953256,4613,607205,114820,508849,921593,1626871,2770664,3122441,3306301,1288156,1287967,1289149,2527457,1917850,830728,2047402,4321217
Nigeria,"Iran, Islamic Republic of",31,5,70,63,478,0,58,0,0,142,27,0,358,2943,4183,1607,289,0,0
Nigeria,Israel,901,745,349,306,1601,2363,1772,434,2947,2145,1379,2857,3288,3439,5049,7839,4712,5098,4691
Nigeria,Côte d'Ivoire,956913,1438845,1603556,1607700,2305180,1446914,2067630,1568413,2510786,2893246,2421490,1441779,977150,887624,1353073,1410671,1375037,1254307,2176657
Nigeria,Jamaica,65,21485,3004,31030,7417,3,32,0,4,2,2,4,19,121117,56699,88891,114411,159440,47098
Nigeria,Kazakhstan,173,17,64,344,778,13,448,33,22,49,27,37,19,553,51,264,93,84,270
Nigeria,Jordan,41,39,0,17,43,185,137,26,893,2,2290,191004,239834,257818,246477,5454,32014,4855,2973
Nigeria,Kenya,0,1481,1054,1814,2453,2363,1585,1864,576,18533,7939,2098,4534,4115,6549,10869,1737,4159,4105
Nigeria,Kyrgyzstan,0,2,5,6,6,14,0,0,5,10,1,3,2,16,1,1,13,6,3
Nigeria,Lebanon,2537,2495,868,583,2381,3710,2523,2492,2709,3847,3982,4170,5406,5531,12436,10680,6818,5716,7896
Nigeria,"Macao, China",0,0,0,0,0,0,1,0,0,8,11,0,856,984,880,1584,2224,982,963
Nigeria,Malawi,97,83,95,39,76,145,237,761,232,69,191,202,179,251,172,135,171,240,27792
Nigeria,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Nigeria,Mauritius,63,15,30,1,60,1,171,18,120,361,73,75,367,1749,38,46,41,34,134
Nigeria,Mexico,5880,12254,127874,253947,444515,325422,334110,279532,117789,448195,529629,248997,105840,199864,147775,5111,3893,2383,136526
Nigeria,"Moldova, Republic of",7,1,10,1,19,1,1,2,31,40,30,1,1,14,7,3,15,33,21
Nigeria,Morocco,38393,6138,29879,10279,14787,13083,171211,243403,213052,76430,44213,27032,35585,32162,45748,8721,27487,31576,38615
Nigeria,Mozambique,19,48,5558,200,101,518,84,2430,81,165,267,477,914,2328,114,443,423,6945,133
Nigeria,Oman,6,13,7,46,99,186,7,41,10,246,43,32,139,202,54,69,109,71,84
Nigeria,Namibia,18,117,29,485,210,109,303,120,215,158,90,2296,11426,124,399,528,85,1257,162
Nigeria,Nicaragua,2,0,1610,974,6971,659,2281,1594,2044,3,34,294,311,292,317,762,1573,1047,5591
Nigeria,Niger,48783,40101,52296,45381,57120,81979,87713,88879,101646,87759,82533,91635,115984,124254,166055,149030,139541,209297,290344
Nigeria,Pakistan,12348,11362,12064,9613,42167,16242,14025,3577,14430,22092,17757,33268,5410,70733,348209,279743,116435,74695,171321
Nigeria,Panama Metadata,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,10,9,0,39
Nigeria,Philippines,5,46,70,4206,109,91,834,3098,9842,1688,15944,9551,24317,1005,34198,60425,111757,27430,82485
Nigeria,Rwanda,135,34,10,23,16,133,28,22,158,86,105,184,678,1090,835,1427,2055,3217,2414
Nigeria,Saint Vincent and the Grenadines,3,2,0,296,4,0,0,2,0,1,0,0,0,1,4,7,39,5,3
Nigeria,Sao Tome and Principe,120,96,549,206,2554,316,330,1052,483,940,655,460,610,3189,516,6771,2041,13,308
Nigeria,Saudi Arabia,1617,1798,1204,394,384,571,538,1062,1914,1067,1985,5414,4187,6247,11021,14548,34991,24015,19501
Nigeria,Senegal,333215,362373,117390,411205,773717,415066,488377,541237,757772,703738,524132,452837,424809,532641,700593,419116,447503,517980,532126
Nigeria,India,52987,62364,5682236,7017395,10124669,5645077,10257572,13604802,13962157,13759369,15663352,10240040,7407117,8339221,11203247,10613135,6335326,9157908,8755969
Nigeria,Viet Nam,14087,30684,19069,22029,41503,33475,46225,116876,94835,69930,99212,131167,235770,371628,389635,383619,365955,436301,309089
Nigeria,Zimbabwe,762,841,329,615,168,404,435,275,660,404,199,223,600,535,657,253,230,415,421
Nigeria,Trinidad and Tobago,91573,291074,387903,306847,234132,70588,19024,124,35,50,233,82,44,107,92,104,22,140,499
Nigeria,Tunisia,19,24,109,774,867,328,95,194,3191,1889,51684,29485,37810,1812,2461,1098,413,864,988
Nigeria,Uganda,534,601,279,473,955,903,406,697,1499,3159,3464,1563,910,836,580,453,679,814,1165
Nigeria,"Macedonia, North",0,2,119,91,191,135,259,87,327,105,202,167,90,146,89,219,100,610,171
Nigeria,Egypt,96,607,111,1590,145,671,1203,1553,6072,2927,4494,86455,323056,387730,122100,5472,4187,6502,3099
Nigeria,"Tanzania, United Republic of",1463,1115,1900,1477,1284,1577,484,1203,388,1031,4001,6440,988,410,529,1378,722,895,2313
Nigeria,Burkina Faso,2973,17999,3543,9190,27328,23546,26387,84201,61377,17063,25201,12313,12410,10926,12735,11273,9701,14980,22606
Nigeria,Uruguay,152881,227915,0,0,120,1102,160557,129813,342548,583075,488734,335898,99745,185097,351053,251135,128485,409665,381167
Nigeria,Samoa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0
Nigeria,Zambia,348,273,250,279,706,425,636,804,726,843,3627,845,1142,844,515,442,283,679,0
Nigeria,Belarus,175,12,75,10,3386,98,12123,22612,19290,18960,1,3176,9154,5022,7802,2318,1978,2223,
Nigeria,Cameroon,292793,749311,735357,9396,13516,9670,933725,19944,1157667,916010,1352350,731736,222974,254583,342202,412488,50479,58667,
Nigeria,Gabon,1450,3033,3902,1697,5433,8444,8920,5676,2248,4664,3283,1976,5143,5799,6676,4978,8979,9606,
Nigeria,Honduras,3436,2299,3144,3613,10575,1015,2666,2114,2191,27,0,213,185,0,284,696,474,355,
Nigeria,Russian Federation,7339,1879,1612,2600,6701,4994,4129,24667,25294,31231,16526,22256,14587,44989,33195,44380,37799,37341,
Nigeria,Eswatini,0,116,2,0,15,115,563,77,64,39,29,424,23,48,35,48,15,106,
Nigeria,Ghana,510181,570693,509998,502550,744987,135141,34609,841732,424518,350852,634659,467996,48884,149009,159384,112294,,,
Nigeria,Solomon Islands,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,,,,
Nigeria,Greenland,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Nigeria,Algeria,2428,3275,1492,954,1215,374,514,616,1055,923,1603,666,1324,1944,,,,,
Nigeria,Saint Kitts and Nevis,0,0,0,0,0,4,3,4,1,0,0,0,0,1,,,,,
Nigeria,Guinea,4118,1325,782,1242,3292,2456,2183,4014,4206,2604,5205,6831,10506,,,,,,
Nigeria,New Caledonia,4,5,1,0,0,9,11,23,0,2,20,1,,,,,,,
Nigeria,Yemen,1377,169,4302,574,820,276,120,199,273,477,1742,174,,,,,,,
Nigeria,"Micronesia, Federated States of",0,0,5,0,0,0,0,0,0,0,,,,,,,,,
Nigeria,"Venezuela, Bolivarian Republic of",631,316,496,131,114,40,497,1550,349,0,,,,,,,,,
Nigeria,Sudan (before 2012) Metadata,6,436,565,783,488,1877,1907,1878,,,,,,,,,,,
Nigeria,Syrian Arab Republic,41300,17191,17052,18853,24879,46092,38239,,,,,,,,,,,,
Nigeria,Faroe Islands,16,0,0,7,0,0,,,,,,,,,,,,,
Nigeria,Mayotte,2,0,0,1,0,11,,,,,,,,,,,,,
Nigeria,Serbia and Montenegro,655,,,,,,,,,,,,,,,,,,
