reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Panama,Portugal,12507,16913,4127,8030,7376,4801,5174,4506,4218,9420,7694,8295,13449,12450,9471,10248,7948,7964,7923
Panama,Czech Republic,20985,38075,16115,20101,16523,10372,13276,10838,6776,12574,6928,5695,8903,15880,11996,13565,13170,18211,15650
Panama,Australia,256,522,3910,2147,1450,1666,2371,3494,5453,6536,8179,6729,4519,5770,11405,8027,2967,9075,3867
Panama,Ukraine,451,3952,2788,4045,5568,27409,5804,11190,19742,16548,1713,11808,2414,1281,5811,4990,1809,4479,5936
Panama,Singapore,11162,43681,2405,5012,19915,14196,5992,2120,6423,7093,6902,8264,4276,67579,50868,43545,5430,3954,1953
Panama,Ireland,1683,279,2603,1073,1221,941,881,1360,928,488,1039,1376,2195,1469,2156,1003,905,1835,1187
Panama,Poland,145891,61683,97461,58308,156230,38735,28160,158036,12738,280819,75572,124774,29425,2170,81574,25398,19462,79744,76576
Panama,New Zealand,783,119,191,296,209,99,213,145,92,150,751,333,811,1351,1834,332,379,734,1070
Panama,Argentina,358,13182,367,886,1601,118,589,1779,228,290,683,176,1957,189,250,201,130,833,778
Panama,Austria,12915,19179,14776,13109,11282,5327,2251,4491,3625,4301,2459,1747,7164,10037,5324,4441,6225,6469,12407
Panama,Serbia,,,725,2682,3227,702,1582,2373,2094,765,296,396,106,231,776,610,575,899,982
Panama,Bosnia and Herzegovina,404,664,984,662,223,89,947,124,341,248,122,35,28,11,268,71,236,390,233
Panama,Hungary,2451,386,354,275,103,126,45,67,35,350,86,66,98,67,107,44989,2324,1762,2152
Panama,Malta,32,1029,17,0,21,442,27311,63,4738,2454,0,1812,17,9,1,3585,13,7,307
Panama,Latvia,76,69,113,26,3,0,510,428,304,37,20,3,13,6,21,18,33,150,327
Panama,Cyprus,29,109,2,4,22,75,22,6,5,41,22072,18361,37867,38956,185779,48556,3204,18699,8658
Panama,Iceland,2853,3207,776,2053,3414,3919,7766,588,339,1873,565,350,79,108,200,369,105,101,359
Panama,Romania,302,105,886,3116,2278,763,1024,159,888,1736,1,2,180,92,43,105,3586,696,1034
Panama,Lithuania,6915,6701,8680,362,110,40,469,7,1129,57580,34,27,1,2,4,148,215,159,18
Panama,Luxembourg,6,4,1,1,125,20,13,7,66,46,656,1588,1618,1660,1421,416,113,261,639
Panama,Slovakia,9276,9573,8382,9047,4707,3844,2545,1795,549,1104,1881,1355,4478,3045,3884,2987,1851,2974,3431
Panama,Slovenia,102,139,297,378,933,373,543,617,840,686,490,280,208,215,264,627,168,670,607
Panama,Estonia,5640,7133,5985,7948,10279,4940,4884,5725,2312,607,1145,1520,358,1193,1239,1411,3676,3444,2718
Panama,Croatia,1632,1157,826,1871,256,258,692,1667,5798,2690,426,25,6,50,16,52,22,12,943
Panama,Madagascar,30,90,1,47,0,0,0,1,0,0,0,8,209,185,26,0,15,0,0
Panama,Cabo Verde,0,139,2,1806,1279,0,52,105,808,126,117,5,0,128,135,0,0,0,0
Panama,Cayman Islands,,,,,,,,,,,,,,,,,4980,10748,
Panama,Liberia,,,,,,,,,,,,,,0,0,0,0,8,0
Panama,Uzbekistan,,,,,,,,,,,,,,0,30,0,0,1,2
Panama,Curaçao,,,,,,,,,,,,,,44048,48031,51166,63138,,
Panama,"Congo, Democratic Republic of the",,,,,,,,,,,,320,50,33,3,22,0,733,687
Panama,Tajikistan,,,,,,,,,,,270,304,7,10,17,0,0,0,2
Panama,Sierra Leone,,,,,,,,,,,0,70,0,134,0,,,,
Panama,Haiti,,,,,,,,,,75188,53605,36460,32232,24389,,,,,
Panama,Palau,,,,,,,,,2,,5,0,1,0,1,,,,
Panama,Bermuda,,,,,,,,,1794,4197,4963,5601,5116,6852,5201,5290,5426,5663,8700
Panama,Sudan,,,,,,,,,18,0,0,0,0,7,0,,,,
Panama,Myanmar,,,,,,,0,0,12,4,45,19,572,0,7,0,3,3,3
Panama,Lao People's Democratic Republic,,,,,,,0,0,0,0,2,70,3,0,0,0,4,0,
Panama,Nepal,,,,,,0,0,1,0,0,0,1,1,0,0,0,0,5,12
Panama,Djibouti,,,,,,5,,,,,,,,,,,,,
Panama,Afghanistan,,,,,0,0,0,0,0,0,1,8,0,5,0,0,,,
Panama,"Libya, State of",,,,0,0,0,119,,,,,0,0,0,0,0,,,
Panama,Congo,,,,376,13,0,0,87052,35,1445,297098,357618,846100,7,0,0,828,0,0
Panama,"Palestine, State of",,,,74,0,3,2,7,0,115,70,15,30,19,47,72,53,41,123
Panama,Vanuatu,,,25,0,,0,0,0,,,,,,,,,,,
Panama,Montenegro,,,934,355,337,5,22,120,38,69,54,66,39,42,55,57,22,24,22
Panama,Central African Republic,,,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0
Panama,Nigeria,,,3512,4577,5681,2162,13616,55258,2939,15176,23403,7204,163,40,5085,96487,9938,39149,16332
Panama,Antigua and Barbuda,,2707,,4000,,2741,2601,1653,2150,1884,2457,2393,1895,3426,5356,4090,2448,3181,4443
Panama,United Arab Emirates,,32,,41,53,,,,999,954,839,1422,521,571,511,680,2485,1733,3759
Panama,Kiribati,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,
Panama,Lesotho,,0,0,0,0,0,0,0,0,0,0,2,0,0,6,3,0,11,0
Panama,Aruba,,23812,25830,30573,31199,34897,33522,41258,36411,38576,45182,28912,18321,14380,12335,12524,12918,50401,44332
Panama,Netherlands Antilles,,30772,35140,40648,51849,,,,,,,,,,,,,,
Panama,Papua New Guinea,12,,,,,,,57,52,,,,,,,66,182,291,
Panama,Turks and Caicos Islands,0,,,,,,,188,93,,,,,,,,,,
Panama,Andorra,23,,0,18,8,1,2,11,0,21,12,64,189,113,227,96,132,658,865
Panama,Kuwait,35,,338,316,325,99,66,484,18,0,2,14,81,75,25,70,296,241,72
Panama,Timor-Leste,0,0,,,,,,,,0,,,,0,0,1,0,6,17
Panama,Guinea-Bissau,0,29,,,,,,,,0,49,0,0,15,4,,,,
Panama,Suriname,6629,8109,,13856,,11134,16669,21383,23624,24981,22623,17396,12926,9843,19750,12362,17334,11306,21652
Panama,Mauritania,0,0,,0,0,0,1086,1411,84,978,42621,51,217,22170,46,4649,24,478,270
Panama,Togo,0,9,,0,6,245,32,82,192,113,76,152,14,12,3,71,50,5,30
Panama,Comoros,0,0,,0,0,0,0,0,0,0,0,0,37,0,96,0,0,0,
Panama,Cuba,41974,46980,50569,,,,,,,,,,61320,65113,63802,47150,27641,34746,49706
Panama,Seychelles Metadata,2,4,16,,3,138,43,61,64,5,1,3,1,5,16,22,5,2,3
Panama,Mongolia,0,230,165,0,,,0,0,0,5,0,36,4,0,39,0,0,30,33
