reporter,Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003
Turkiye,Papua New Guinea,148,193,125
Turkiye,Greenland,5,0,1212
Turkiye,Dominica,8,41,49
Turkiye,Eswatini,0,0,0
Turkiye,Sao Tome and Principe,0,0,45
Turkiye,Montserrat,0,0,0
Turkiye,Bahamas,0,4,0
Turkiye,Kenya,12172,7307,9479
Turkiye,Nepal,,,1501
Turkiye,Eritrea,,,17550
Turkiye,Sierra Leone,,2464,
Turkiye,Tuvalu,,1,
Turkiye,Central African Republic,67,143,820
Turkiye,Lesotho,217,7212,326
Turkiye,Nigeria,21328,28470,24490
Turkiye,Tonga,0,17,2
Turkiye,Anguilla,0,0,1
