reporter,Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003
Portugal,Guatemala,1216,956,1778
Portugal,Bosnia and Herzegovina,,,0
Portugal,Croatia,5833,1254,1646
Portugal,Belize,295,75,0
Portugal,Uganda,614,1879,2504
Portugal,Lebanon,1728,575,519
Portugal,Angola,,,
Portugal,Kyrgyzstan,2,354,613
Portugal,Serbia and Montenegro,337,423,
Portugal,Ghana,397,,1951
Portugal,El Salvador,673,1336,1044
Portugal,Togo,368,718,1776
Portugal,Mali,2641,4204,3140
Portugal,Nicaragua,695,222,337
Portugal,Sao Tome and Principe,421,978,2416
Portugal,Ethiopia,224,7789,10038
Portugal,Madagascar,2028,1087,1055
Portugal,Sudan (before 2012),799,508,750
Portugal,"Moldova, Republic of",60,85,88
Portugal,"Bolivia, Plurinational State of",474,517,321
Portugal,Cambodia,473,729,268
Portugal,Yemen,,,
Portugal,Zambia,7628,852,117
Portugal,Faroe Islands,292,1163,467
Portugal,Georgia,90,96,249
Portugal,Mauritania,203,144,132
Portugal,Gambia,88,0,7
Portugal,Papua New Guinea,7,268,447
Portugal,Qatar,27,357,124
Portugal,Dominican Republic,33,143,138
Portugal,Guinea-Bissau,,,1637
Portugal,Suriname,781,,
Portugal,Greenland,58,1032,2097
Portugal,Kuwait,35,81,95
Portugal,Guinea,238,21,
Portugal,New Caledonia,0,0,0
Portugal,Barbados,155,592,456
Portugal,Fiji,,8259,8859
Portugal,Armenia,0,0,24
Portugal,Bahamas,0,0,9
Portugal,French Polynesia,3,43,0
Portugal,Jamaica,7701,7969,0
Portugal,Niger,0,0,0
Portugal,Rwanda,8,0,0
Portugal,Seychelles,826,184,0
Portugal,Eswatini,2,5609,8562
Portugal,Burkina Faso,0,0,92
Portugal,Samoa,2,0,0
Portugal,Nepal,,,5754
Portugal,Central African Republic,495,2347,503
Portugal,Nigeria,461435,491915,589470
