reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Nigeria,Greece,41144,81679,45172,50835,131053,115125,112832,111583,144886,80518,99700,37861,24257,38355,46463,54798,45654,72028,69770
Nigeria,Iceland,49766,51608,54590,58198,62436,82520,85155,105748,131995,99303,128562,104201,49671,51760,63944,71146,65856,66210,67902
Nigeria,Denmark,76207,91094,96251,91220,86694,74866,92149,160598,141906,160916,189251,150280,84960,83818,63333,75794,85819,99323,70184
Nigeria,Portugal,25256,48944,17346,35753,129786,46115,59593,105927,114691,81496,51175,48486,30433,21741,31459,35171,38192,49241,32352
Nigeria,Argentina,94265,108389,158093,302734,190898,94203,80671,86544,151175,107058,67375,88762,38252,86632,85055,111021,118130,173586,279322
Nigeria,Czech Republic,16929,17333,81903,33470,50033,27078,60540,71846,69191,75536,72124,72239,42142,51004,57326,105226,91629,62680,85621
Nigeria,Finland,35402,61406,123995,142954,99860,85766,62694,31521,70133,38584,49000,29531,18467,46743,37022,100061,56397,28554,104467
Nigeria,Estonia,1281,17628,35394,35057,130332,326449,277234,616437,236509,33139,6029,3001,49128,14131,84695,3627,19952,63916,38090
Nigeria,Romania,41432,103419,34599,20988,47905,45865,54182,79217,119642,35323,53465,66171,35011,30948,51913,43353,44236,37517,18654
Nigeria,Malta,492,15441,16885,15427,37700,4197,4373,10898,68643,10473,11790,10021,5552,7132,11964,16025,8528,10472,10634
Nigeria,Serbia,,,2878,1260,1574,1731,990,1178,7087,3082,8704,13706,7358,7402,7193,9784,5782,8086,8838
Nigeria,Slovakia,1218,10667,15294,8995,15744,10856,10341,16543,11472,34209,29657,13203,15254,11100,10360,14449,11426,11102,10110
Nigeria,Slovenia,5642,2924,3450,4093,3381,5052,6697,9295,14426,10378,14293,9647,6216,7974,8477,11785,12403,13768,20013
Nigeria,Bulgaria,11005,7138,2890,8840,122401,40064,34206,36948,8224,27480,5579,4768,3795,8073,8615,35602,33444,17843,33249
Nigeria,Hungary,5993,38280,150458,192610,115670,15235,23489,67898,123611,163022,114270,43241,35151,33093,34971,26629,18356,26777,21226
Nigeria,Australia,21278,21610,35300,28780,34738,44428,51495,46539,70574,160829,196984,186672,144706,167330,107262,60067,23542,44909,42364
Nigeria,Peru,2196,6568,10536,13720,15269,6759,1244,34231,54233,13039,8065,896,4320,4034,6880,27472,22637,11965,5773
Nigeria,Croatia,33139,69661,9282,820,45905,54482,146301,38514,2517,16215,11539,9697,1979,2102,5095,2067,5654,2555,9138
Nigeria,Luxembourg,8004,9600,8375,9985,21061,10269,7392,4729,20323,10945,22190,14421,16492,635,26384,27608,26115,23997,28156
Nigeria,Colombia,1871,2058,3952,1487,1743,9638,3320,52958,30883,8107,7518,20363,4086,4725,5466,8235,11331,13094,10210
Nigeria,Bosnia and Herzegovina,0,0,389,0,2,5,22,40,495,529,296,149,461,568,265,220,1170,941,5309
Nigeria,Ukraine,180370,212310,183381,268462,393500,193664,245240,213159,273586,331122,314938,120877,104222,94709,105220,160434,69317,188436,29460
Nigeria,Costa Rica,143,3,0,21,157,0,6,456,395,735,185,162,364,236,147,468,309,9062,6274
Nigeria,Madagascar,17,54,0,0,3,127,32,251,236,1,27,150,89,566,1189,212,370,290,271
Nigeria,Ecuador,1,1,76,6,143,0,78,266,340,3219,415,788,418,1006,309,379,1105,10339,1010
Nigeria,Cabo Verde,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Nigeria,Paraguay,0,0,0,24,47,3,0,2369,13784,14257,16218,23810,2,1,0,136,1,1594,302
Nigeria,"Bolivia, Plurinational State of",0,0,0,3,0,61,71,3,7,77,0,0,0,11,87,317,8,193,30
Nigeria,Belize,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
Nigeria,El Salvador,0,25,3,0,0,18,292,745,22,0,0,0,1,0,0,0,8,0,14
Nigeria,Guatemala,0,0,31,599,0,0,1,2980,24123,90,0,2,20,3,2953,542,2,0,20
Nigeria,Liberia,,,,,,,,,,,,,,29,1224,1550,58,14,29
Nigeria,Uzbekistan,,,,,,,,,,,,,,10,47,0,0,0,0
Nigeria,"Congo, Democratic Republic of the",,,,,,,,,,,,22,33,1016,100,1285,0,162,108
Nigeria,Sierra Leone,,,,,,,,,,,4098,753,175,581,1463,,,,
Nigeria,Haiti,,,,,,,,,,8,7,10,438,1194,,,,,
Nigeria,Sudan,,,,,,,,,728,871,3686,2926,1552,3161,2587,,,,
Nigeria,Myanmar,,,,,,,0,0,0,0,0,0,0,353,1181,1092,3646,810,277
Nigeria,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,0,100,8,48,255,
Nigeria,Nepal,,,,,,1,3,0,15,71,85,1,14,0,0,56,0,38,25
Nigeria,"Libya, State of",,,,18437,5984,0,0,,,,,0,0,59,69,38,,,
Nigeria,Congo,,,,24452,316175,11012,11448,133663,260772,249213,302079,117384,163585,117084,4914,14874,4657,372,51199
Nigeria,"Palestine, State of",,,,0,0,0,0,0,0,0,113,0,0,18,0,0,0,0,0
Nigeria,Montenegro,,,0,0,0,0,17,0,9,13,0,14,63,123,0,0,0,5,49
Nigeria,Central African Republic Metadata,,,2,25,30,6,0,393,1,0,3,44,2,50,61,1,37,41,123
Nigeria,Antigua and Barbuda,,1,,0,,19,0,0,10,18,12,12,6,0,38,10,13,25,34
Nigeria,United Arab Emirates,,184046,,245169,334362,,,,988274,544380,697274,332310,190296,612039,927199,1078514,1004771,1373662,1690505
Nigeria,Lesotho,,0,0,0,0,0,0,0,0,0,1,0,19,74,27,32,4,12,0
Nigeria,Netherlands Antilles,,25,1,2,1,,,,,,,,,,,,,,
Nigeria,Papua New Guinea,6,,,,,,,0,12,,,,,,,1,0,0,
Nigeria,Andorra,110,,0,0,0,0,0,0,0,3,0,1,0,1,5,1,0,1,1
Nigeria,Kuwait,410,,749,1095,0,951,1506,900,1608,1274,1603,1386,812,1319,5186,26845,69369,14635,21699
Nigeria,Timor-Leste,2,0,,,,,,,,0,,,,0,0,0,0,0,0
Nigeria,Suriname,0,4,,0,,0,38,0,0,124,55,23,0,14,17,3,0,117,52
Nigeria,Mauritania,6826,9735,,1816,7883,5867,5755,5369,36166,33652,48888,91218,70281,38567,34879,44495,34738,16561,12279
Nigeria,Togo,7343,14669,,715,95343,67171,4159,78958,93220,118261,91224,42710,39662,58757,48178,35075,39259,30712,32138
Nigeria,Cuba,0,0,0,,,,,,,,,,8,125,803,254,51,17,0
Nigeria,Seychelles Metadata,0,0,0,,1,1,1,0,8,6,0,0,17,0,0,33,751,455,0
Nigeria,Mongolia,0,0,0,0,,,0,0,0,0,53,0,0,0,0,0,0,0,0
Nigeria,Angola,263,1692,271,0,,0,0,0,0,0,0,5880,2915,6509,24478,7270,1239,639,1856
Nigeria,Saint Lucia,1,0,0,0,0,,,,94,0,0,0,0,0,0,2,0,,
Nigeria,Mali,1470,516,65,1885,577,,1083,1330,2392,,,,665,358,839,361,2201,250,348
Nigeria,Grenada,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Dominica,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0
Nigeria,Bangladesh,1902,7231,2229,1497,3927,4930,7533,13483,5719,3345,,3081,,,,,,,
Nigeria,Qatar,10396,9411,10397,3649,381,5164,29756,28038,31523,45161,50271,29178,,62034,39286,39449,37296,58050,75790
Nigeria,Sri Lanka,791,4120,1235,3064,3149,2131,2666,4236,4892,6997,7745,4561,8012,4074,,5223,5654,6942,3810
Nigeria,Albania,0,0,0,4,0,25,93,0,97,21,22,16,19,17,3,84,2,431,0
Nigeria,Azerbaijan,2,992,55,2,24182,10,67,29,33,17,53,14,44,508,131,320,157,85,471
Nigeria,Bahamas,0,0,0,28,15825,13481,22867,9,0,0,232,0,0,0,2,0,0,0,0
Nigeria,Bahrain,703,1231,0,270,1768,947,2226,1366,2398,3837,1100,7146,7783,2699,4948,5427,5336,8103,11893
Nigeria,Armenia,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,30,3
Nigeria,Barbados,5,2,7,35,5,7,3,0,1,1,2,1,1,2,1,0,0,2,0
Nigeria,Botswana,177,75,661,305,2247,778,300,202,98,36,86,53,20,53,32,149,41,634,581
Nigeria,Brunei Darussalam,270,312,2209,210,24,71,200,205,515,652,371,140,275,416,212,109,16,1,22
Nigeria,Burundi,4,3,0,0,0,16,27,54,0,0,10,14849,442,1,6,3,51,50,50
Nigeria,Cambodia,0,0,0,115,53,42,79,0,1683,95,145,39,106,187,596,247,464,153,301
Nigeria,Benin,13590,16572,19450,38065,88355,169738,226026,46089,41166,70213,48780,39263,27014,74234,75150,48142,8533,8671,12871
Nigeria,Dominican Republic,0,70,14,1,1145,254,35,73827,61019,31935,2,0,55,116,134,58,40,93,117
Nigeria,Ethiopia,26,6,0,197,332,21,153,176,170,143,413,3150,4172,24228,12837,16243,11523,6502,1185
Nigeria,Fiji,31,136,4,16,12,0,8,17,0,35,0,0,0,1,1,1,5,3,2
Nigeria,French Polynesia,1,1,0,0,0,26,0,0,0,1,0,0,0,0,0,0,2,2,0
Nigeria,Georgia,0,0,0,18,0,0,0,72,351,3458,1989,90,46,4,88,76,164,83,3754
Nigeria,Gambia,0,0,1,0,115,98,9,87,42,34,41,26,0,8,19,29,1,0,7
Nigeria,Guyana,664,724,0,0,0,0,688,373,442,2,0,0,0,0,0,7,32,2,9
Nigeria,Indonesia,176990,168745,158412,195871,289629,207362,316867,465990,413080,558178,648617,445738,310819,343804,421221,424297,371047,463871,459789
Nigeria,"Iran, Islamic Republic of",7381,8765,10732,13899,13629,15681,18452,23402,20379,5637,4606,2553,9895,16966,4790,2682,17241,125339,169108
Nigeria,Israel,42805,47360,78072,205019,304299,210292,303642,397994,365631,155137,96786,128191,81784,148677,241437,165524,35886,89384,30189
Nigeria,Côte d'Ivoire,496493,578149,588128,644226,622158,716986,668704,667551,867737,892875,611697,460430,179711,147739,199682,218575,122878,128726,190342
Nigeria,Jamaica,13,14,1,10,110,28,45,2,1559,1995,3,3,0,50,40,10,11,19,10
Nigeria,Kazakhstan,1487,1237,18050,23555,10114,45,3040,6034,1123,275,119,1141,15,59,28,583,937,2621,188
Nigeria,Jordan,735,1790,892,2215,3785,2080,2773,4687,9280,2689,2854,1845,1581,1868,2344,3168,2388,3090,18536
Nigeria,Kenya,15280,21975,29686,24373,45937,24137,20106,20427,34637,27286,27626,37359,25227,25623,22027,27516,37797,33120,42866
Nigeria,Kyrgyzstan,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,132,0
Nigeria,Lebanon,16754,26948,33832,42853,53952,43061,48107,49216,44961,75984,60306,44851,33289,21740,33704,29194,27621,26641,28844
Nigeria,"Macao, China",21,0,115,6,2,0,0,0,0,0,0,0,0,54,199,40,0,0,16
Nigeria,Malawi,391,605,899,112,458,17,54,24,13,74,55,7,2954,131,479,180,765,368,1389
Nigeria,Mauritius,233,704,212,456,337,724,1722,369,372,432,1459,614,1007,312,322,62,205,164,0
Nigeria,Mexico,2492,22989,41772,27656,22156,28451,30855,35543,48733,69490,38070,51522,38337,29410,35308,58879,44910,45359,25559
Nigeria,"Moldova, Republic of",0,0,0,0,0,98,317,953,1163,1854,1967,787,776,930,1505,1650,1377,2255,2306
Nigeria,Morocco,20736,28139,16882,15623,42396,28652,45102,43213,142916,106946,132757,97295,139435,166358,137257,85434,104838,130889,184921
Nigeria,Mozambique,0,0,1064,2,0,0,0,61,75,14048,763,473,555,684,3136,2487,1363,5728,3604
Nigeria,Oman,1497,3879,2790,13103,10012,14209,15306,18521,13130,9760,12593,6564,6088,4297,9782,10545,13854,27937,51431
Nigeria,Namibia,575,1456,3562,3800,4306,17932,8794,7131,6240,11476,5767,2435,8450,13869,27052,13860,9576,8460,11737
Nigeria,Nicaragua Metadata,0,0,0,0,24,2,4,3349,166,0,3,0,0,4,0,0,4,71,28
Nigeria,Niger,60787,49782,48615,41172,178489,139056,53015,53986,148388,205630,133213,99292,106072,191594,235931,199517,40510,63391,67988
Nigeria,Pakistan,309039,51291,33884,19445,26447,36918,29768,29447,35453,43639,61759,50160,36817,59335,48061,27467,29980,39646,35464
Nigeria,Panama Metadata,4,0,64,1,531,548,829,1087,1224,1658,1319,661,145,325,358,37,196,144,35
Nigeria,Philippines,6476,11553,6522,8258,6083,5738,5119,8191,5773,8644,12011,6565,7345,3864,4127,4361,5070,8571,8064
Nigeria,Rwanda,14,3,16,0,1,41,69,8,108,74,18,1109,16,135,124,141,162,866,588
Nigeria,Saint Vincent and the Grenadines,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nigeria,Sao Tome and Principe,39,51,37,3,18,34,259,32,36,37,44,39,0,62,36,31,12,0,0
Nigeria,Saudi Arabia Metadata,44196,48131,61953,68182,75247,61711,143850,228388,169870,234543,256034,165824,180889,231195,246220,255829,159704,696167,398848
Nigeria,Senegal,4408,2744,5877,12651,17841,16566,4880,10422,14034,9641,15142,10376,10073,21693,29805,25594,23875,20307,26344
Nigeria,India,539783,852099,932942,992814,1369418,1543343,1917926,2557091,2828459,2897204,2872163,2285722,1742645,2064148,2752043,3678866,2953858,4523063,5340109
Nigeria,Viet Nam,11352,17110,32957,34112,64180,66881,109756,70524,112684,147878,182850,112998,71353,63772,115451,127114,134957,158042,148057
Nigeria,Zimbabwe,299,295,102,249,0,400,1353,516,2,93,491,302,42,66,14,1,27,4292,2165
Nigeria,Trinidad and Tobago,208,161,60945,27525,98504,1187,1152,28973,9507,62393,46659,537,87,46,169,203,8,453,238
Nigeria,Tunisia,1592,2780,3223,4471,8235,10612,15188,18583,18292,25711,28213,16438,12689,8531,7024,8832,9576,7673,17223
Nigeria,Uganda,252,156,70,75,367,427,460,409,1083,2669,1069,2662,1252,929,2751,1776,3459,2092,6270
Nigeria,"Macedonia, North",934,1305,534,817,1039,697,299,330,198,185,160,22,134,0,87,10378,3,82,2582
Nigeria,Egypt,30738,18369,7692,24757,469706,91171,142642,115253,88174,97442,99812,89954,87243,103624,180266,133447,102262,138395,119098
Nigeria,"Tanzania, United Republic of",510,1709,21447,6329,9500,5136,1107,1057,1000,3546,4329,3581,8586,8558,6630,8070,9504,9922,14899
Nigeria,Burkina Faso,446,1603,2908,509,2944,49,1308,672,38,645,3314,484,192,61,47,82,47,33,361
Nigeria,Uruguay,9806,15265,22674,36323,54157,40420,41091,61994,57475,21588,19175,25966,7843,19994,20748,12153,9792,13580,22190
Nigeria,Samoa,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Nigeria,Zambia,55,27,14,112,471,463,996,780,207,43,161,62,1258,1019,223,777,456,7060,0
Nigeria,Belarus,4340,3752,18457,4284,15433,27959,41470,74713,17551,31371,20114,14978,5720,21422,30974,9544,6243,1520,
Nigeria,Cameroon,24752,15772,21328,98857,32081,24536,28275,46483,149658,80117,107241,42363,40808,37850,32823,43514,28015,33277,
Nigeria,Gabon,2829,11405,13549,10883,833,2688,4500,19355,211507,282045,215877,148827,126630,47124,63175,175627,37060,9117,
Nigeria,Honduras,0,0,7,56,149,44,0,0,32,0,0,19,29,31,25,27,447,1641,
Nigeria,Russian Federation,74352,156378,144018,148035,282395,274453,109539,271821,197857,267882,351327,284572,379874,385945,733738,376644,423585,883389,
Nigeria,Eswatini,0,0,0,0,201,18175,35479,41026,794,48854,94357,85319,69802,84195,79648,99748,102627,79649,
Nigeria,Ghana,9106,393929,69845,80509,85976,79345,101096,196948,248402,141093,187693,175321,51866,63219,80962,164055,,,
Nigeria,Algeria,16016,16224,1272,4544,106438,1121,10177,10785,734,1385,685,443,8021,325,,,,,
Nigeria,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Nigeria,Guinea,1,5,22,58,6956,9513,129579,8175,6465,89,148,27,41,,,,,,
Nigeria,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Nigeria,Yemen,0,0,0,0,56,20,86,261,7,86,185,0,,,,,,,
Nigeria,"Venezuela, Bolivarian Republic of Metadata",4373,17626,348,308,4331,1774,57,48,0,0,,,,,,,,,
Nigeria,Sudan (before 2012) Metadata,10274,0,9,1,56,148,177,219,,,,,,,,,,,
Nigeria,Syrian Arab Republic,1543,883,10539,16151,4002,3798,5595,,,,,,,,,,,,
Nigeria,Faroe Islands,7554,6821,7541,29178,19975,31156,,,,,,,,,,,,,
Nigeria,Mayotte,0,0,0,0,0,13,,,,,,,,,,,,,
Nigeria,Serbia and Montenegro,1578,,,,,,,,,,,,,,,,,,
