reporter,Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Djibouti,Slovenia,878,1385,962,0,0,57,288,507,560,1391,620,1608,919,557,179,90,182,110,76,2188
Djibouti,New Zealand,56,395,994,1815,1977,1711,1983,2854,3778,2661,1473,2324,2401,1397,512,585,1913,3492,710,1819
Djibouti,Portugal,139,196,370,657,840,1122,4308,1697,1174,1667,2097,1419,17693,357,406,393,217,1176,1975,1760
Djibouti,Hungary,5,1284,2127,8337,5881,1892,658,2340,470,813,890,1164,1381,1276,1877,929,1186,1003,6505,1721
Djibouti,Ireland,91,18,511,410,19,156,147,528,95,67,668,58,55,803,138,189,294,229,1287,1682
Djibouti,Greece,1250,333,1861,206,0,64,207,0,3,92,142,587,1346,2660,1050,2626,357,1206,662,1443
Djibouti,Colombia,0,602,0,53,0,118,7,64,104,144,338,218,358,927,493,2047,611,2500,1051,1438
Djibouti,Serbia,,,0,0,0,0,0,3,0,0,0,0,0,0,235,706,1067,1239,779,1415
Djibouti,Czech Republic,89,140,174,258,51,7,71,4265,372,92,335,744,362,473,211,394,191,914,410,1237
Djibouti,Argentina,5339,100,165,361,560,154,182,10505,38260,956,185,198,427,448,1068,2841,2627,1347,835,720
Djibouti,Lithuania,6,0,7,22008,16,0,72,88,0,179,155,14,306,59,48,74,118,169,42,650
Djibouti,Cyprus,461,135,43,44,155,354,43,60,63,267,441,82,56,208,343,239,4301,18,22,647
Djibouti,Canada,1569,1654,2438,1084,1484,2387,4676,1684,1981,2548,1704,1370,1982,1273,4875,8274,3504,3928,12313,499
Djibouti,Madagascar,61,16,0,37,64,13,489,65,122,25,887,2769,10,184,50,55,19,26,547,359
Djibouti,Ecuador,0,0,0,15,614,12,0,0,0,0,0,549,92,74,5,0,0,0,0,150
Djibouti,Norway,479,357,160,524,192,283,206,640,1126,105,258,142,818,432,556,244,468,440,442,146
Djibouti,Luxembourg,30,14,369,18,532,58,0,1,634,4599,6366,158,47,0,308,312,45,185,3,91
Djibouti,Latvia,0,143,38,77,135,473,395,488,453,320,298,506,9959,229,28,77,262,1695,401,69
Djibouti,Slovakia,11,246,76,32,114,22,8,0,94,13,9,357,177,370,337,159,27,157,878,65
Djibouti,Chile,0,0,0,0,0,0,0,13,0,0,0,0,30,26,60,0,802,0,0,16
Djibouti,"Bolivia, Plurinational State of",0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,15
Djibouti,Peru,0,1370,0,62,134,46,0,0,27,0,644,7454,2920,52,0,29,6,72,14,14
Djibouti,El Salvador,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13
Djibouti,Estonia,0,0,0,0,6,48,0,0,0,0,0,91,0,44,0,85,83,36,106,10
Djibouti,Costa Rica,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,62,0,7
Djibouti,Bosnia and Herzegovina,5,0,0,0,0,462,34,0,243,0,0,0,0,0,0,0,0,63,216,0
Djibouti,Belize,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Djibouti,Guatemala,0,0,0,0,0,0,0,0,0,0,0,267,22,0,0,0,74,0,0,0
Djibouti,Iceland,0,0,0,0,55,0,0,0,0,0,27,0,0,1,203,559,261,8,0,0
Djibouti,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,283,351,0,28,0,0,0
Djibouti,"Congo, Democratic Republic of the",,,,,,,,,,,,0,20,0,0,38,0,26,0,
Djibouti,Haiti,,,,,,,,,,0,0,0,156,0,,,,,,
Djibouti,Sudan,,,,,,,,,83,49,317,102,237,13956,2163,,,,,
Djibouti,Myanmar,,,,,,,0,0,0,0,0,73,4,641,0,3149,700,0,0,
Djibouti,Nepal,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Djibouti,"Libya, State of",,,,0,0,7310,0,,,,,0,0,0,0,0,,,,
Djibouti,Congo,,,,32,0,0,0,0,0,0,18,0,101,47,165,18,0,1,0,
Djibouti,Vanuatu,,,41,0,,0,0,0,,,,,,,,,,,,
Djibouti,Central African Republic,,,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Nigeria,,,0,87,0,221,0,0,0,149,872,0,5724,3052,1383,0,0,210,0,
Djibouti,United Arab Emirates,,178476,,285962,273052,,,,317391,280848,231619,318763,266293,431864,1072326,787855,754100,1027969,1732127,
Djibouti,Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Djibouti,Netherlands Antilles,,0,0,0,10,,,,,,,,,,,,,,,
Djibouti,Papua New Guinea,0,,,,,,,0,0,,,,,,,0,16,0,,
Djibouti,Andorra,0,,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,
Djibouti,Kuwait,163,,433,2619,4,2229,1503,1959,3407,1923,1806,1781,565,338,1001,1683,1480,3224,1282,
Djibouti,Timor-Leste,33,0,,,,,,,,0,,,,0,0,0,0,0,0,
Djibouti,Mauritania,0,0,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,
Djibouti,Togo,0,0,,30,0,177,0,0,3,0,6,75,14,0,39,12,4,256,72,
Djibouti,Comoros,0,0,,0,0,0,218,179,0,9,20,57,0,0,0,0,0,97,,
Djibouti,Seychelles,0,0,0,,0,116,60,0,206,0,0,0,0,4,0,0,0,0,456,
Djibouti,Angola,0,0,0,0,,0,0,0,0,0,0,0,32,279,0,9,13,9,16,
Djibouti,Mali,0,0,0,0,0,,0,32,0,,,,0,0,17,4,0,0,0,
Djibouti,Bangladesh,944,703,454,271,371,392,1065,3979,899,1924,,1994,,,,,,,,
Djibouti,Qatar,16,0,808,230,213,12354,61471,956,1693,1770,338,7682,,2543,43371,56583,15891,11364,8078,
Djibouti,Sri Lanka,10,17,1146,44,24,26,274,163,377,233,126,107,60,122,,29,84,916,276,
Djibouti,Albania,0,0,0,0,0,0,0,0,0,366,0,0,6,3,32,0,0,0,0,
Djibouti,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,4,0,18,0,
Djibouti,Bahrain,160,209,62,99,597,516,520,648,165,538,413,1051,345,27986,8161,3909,2897,2556,2097,
Djibouti,Barbados,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Botswana,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,
Djibouti,Burundi,0,0,0,0,3,0,0,9,0,5,24,13,0,0,0,5,0,3,0,
Djibouti,Cambodia,8,0,3,0,0,0,0,0,0,0,0,0,0,9,36,0,0,0,22,
Djibouti,Benin,0,25,30,0,3,511,0,1,5,0,146,35,38,41,19,163,0,4,2,
Djibouti,Dominican Republic,0,0,0,7,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,
Djibouti,Ethiopia,26777,31976,304,56061,48779,47054,53868,68392,86008,75113,79576,94191,109249,95996,130947,128165,108869,102899,86784,
Djibouti,Fiji,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,
Djibouti,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,2,
Djibouti,Gambia,0,0,0,0,0,0,0,0,0,0,0,242,1,0,0,0,0,0,0,
Djibouti,Guyana,1,0,0,0,0,0,0,0,550,0,0,6,0,0,0,0,0,0,0,
Djibouti,Indonesia,22879,42448,45058,44269,58907,50722,71138,186107,270333,286406,306828,278268,211296,202486,211544,162584,195595,311073,290827,
Djibouti,"Iran, Islamic Republic of",2971,7269,9471,11216,15951,25395,51842,47234,18131,6600,9248,17383,20164,17948,27406,2589,360,4039,9320,
Djibouti,Israel,6291,16768,28227,18715,13073,7221,3429,6944,9628,9076,12747,13311,16006,24671,194,0,7266,6895,7232,
Djibouti,Côte d'Ivoire,4,1,60,0,11,152,131,1057,2333,82,105,239,314,195,236,1134,1054,896,2841,
Djibouti,Jamaica,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Kazakhstan,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,
Djibouti,Jordan,123,212,806,1010,1037,822,1555,1836,2186,864,2228,1136,1367,1292,2356,2116,704,621,2539,
Djibouti,Kenya,7042,8937,11805,33946,11740,9209,11681,11837,13991,14255,11501,11333,12993,7541,6328,6599,6844,8958,19947,
Djibouti,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,1033,970,302,0,0,0,0,
Djibouti,Lebanon,289,308,852,1954,2184,609,1916,1569,2204,1564,4832,4791,2732,1434,2370,1101,1086,588,1681,
Djibouti,"Macao, China",0,0,0,0,0,0,0,0,0,245,981,0,0,0,0,0,0,0,0,
Djibouti,Malawi,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,4,0,0,0,
Djibouti,Mauritius,6,201,0,0,2,29,6,27,45,928,860,83,61,25,0,86,104,246,660,
Djibouti,Mexico,0,0,0,0,18,28,36,39,67,167,0,188,134,146,610,0,0,0,0,
Djibouti,"Moldova, Republic of",0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,37,
Djibouti,Morocco,105,113,176,360,340,916,449,14562,101816,506,12513,1093,74458,30599,108958,223198,249048,257302,537966,
Djibouti,Mozambique,0,0,0,0,0,0,23,0,0,0,3,0,0,0,213,0,0,0,552,
Djibouti,Oman,9415,7094,11792,10818,14145,18529,75508,28222,19217,39613,26380,24167,15667,82556,96643,53287,27496,58813,73091,
Djibouti,Namibia,0,5,3,0,1,6,0,21,5,0,49,21,24,2,8,7,2,0,53,
Djibouti,Nicaragua,0,512,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,
Djibouti,Niger,0,0,0,7,0,11,0,0,0,0,14,0,0,0,18,29,3,0,16,
Djibouti,Pakistan,3011,3710,5096,31322,78277,91897,41601,58120,34855,44785,41133,41344,28527,32154,58379,55187,45496,55537,36953,
Djibouti,Panama,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,
Djibouti,Philippines,36,134,313,6,65,277,1064,663,530,286,1412,902,1001,426,678,1200,501,679,54,
Djibouti,Rwanda,49,2,0,0,409,0,0,1,17,28,19,0,0,2,20,0,0,0,19,
Djibouti,Saudi Arabia,31916,31261,52472,48126,57630,53498,81791,103652,81352,195597,117482,137636,140289,125841,124057,144387,113883,1802626,2407731,
Djibouti,Senegal,100,40,37,27,93,40,9,359,242,417,14,1,132,15,47,6,1,29,1,
Djibouti,India,116517,194641,339878,404999,394046,249252,298132,445124,391401,382898,297623,204132,270559,274433,861251,357249,337351,643783,876899,
Djibouti,Viet Nam,147,565,1549,555,2656,0,3890,0,0,0,42956,45231,26608,37249,0,0,0,0,0,
Djibouti,Zimbabwe,473,331,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
Djibouti,Tunisia,330,553,704,1129,1393,917,2923,684,542,2479,556,287,819,691,895,703,407,779,580,
Djibouti,Uganda,10,2,12,12,102,36,856,0,45,402,66,81,190,3303,26,128,103,1,128,
Djibouti,"Macedonia, North",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Egypt,8187,8372,4231,4806,21653,28263,28771,44683,35265,19744,20801,22317,27895,34514,40885,45517,54550,67895,47488,
Djibouti,"Tanzania, United Republic of",93,8,5,56,324,185,272,916,681,54,2620,7782,2912,405,215,482,84,270,112,
Djibouti,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,89,3,0,0,
Djibouti,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,
Djibouti,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,20,
Djibouti,Belarus,25,2611,0,0,0,0,9,0,15,3,34,10,0,586,2,0,2877,353,,
Djibouti,Cameroon,0,0,0,279,0,0,0,72,1,0,0,106,0,0,0,0,0,433,,
Djibouti,Gabon,0,3,0,0,0,12,0,0,20,0,0,0,0,8,51,0,0,0,,
Djibouti,Russian Federation,162,124,3851,6738,56593,2682,13062,94234,24383,716,56084,51997,56382,17142,16858,25084,10342,49570,,
Djibouti,Eswatini,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,
Djibouti,Ghana,0,0,78,124,203,109,76,171,96,130,0,30,68,98,189,185,,,,
Djibouti,Algeria,0,42,0,0,0,14,1423,57,283,114,10,0,0,2,,,,,,
Djibouti,Guinea,0,0,0,0,0,1,0,0,0,0,0,26,0,,,,,,,
Djibouti,New Caledonia,0,0,0,0,0,8,0,0,0,0,65,12,,,,,,,,
Djibouti,Yemen,8099,8447,10004,22799,16428,13753,10878,12732,12530,26206,26231,10404,,,,,,,,
Djibouti,Sudan (before 2012),16,0,0,522,737,3469,0,0,,,,,,,,,,,,
Djibouti,Syrian Arab Republic,1324,155,1703,1575,2980,3663,2261,,,,,,,,,,,,,
Djibouti,Mayotte,3,8,18,0,6,32,,,,,,,,,,,,,,
