reporfer,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Kyrgyzstan,Georgia,58,36,234,850,1806,557,55,57,69,203,240,161,3,30,7,17,2,54,4,
Kyrgyzstan,Gambia,0,1,0,0,0,0,200,7,6,28,12,48,0,16,30,29,6,0,26,
Kyrgyzstan,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5775,264,
Kyrgyzstan,Indonesia,1066374,1275353,1506375,1705790,1857057,1442252,1372713,1407886,2181484,1440879,1461534,738683,293119,319992,266617,308283,291856,266791,144345,
Kyrgyzstan,"Iran, Islamic Republic of",79705,63512,107260,181045,118897,99570,114973,92561,66013,125810,62431,28619,54063,27492,12170,5455,7376,14810,14053,
Kyrgyzstan,Israel,0,0,0,19,0,27,36,3,2,0,0,0,0,0,0,0,0,0,0,
Kyrgyzstan,Côte d'Ivoire,3038,4066,6212,7874,3575,5421,4399,4710,7839,3023,405,3061,3344,4667,2919,3602,3643,8649,8811,
Kyrgyzstan,Jamaica,0,0,0,0,0,0,0,30,0,0,0,0,0,0,40,41,8,0,54,
Kyrgyzstan,Kazakhstan,4,11,0,57,88,179,159,0,0,18,113,23,28,34,1,499,68,636,2566,
Kyrgyzstan,Jordan,28947,61196,35191,136588,115029,66993,123776,132045,163476,167957,144267,106040,47290,56876,44707,45059,55085,78047,110783,
Kyrgyzstan,Kenya,0,27525,41110,42212,169291,76733,35976,60682,199992,31742,26326,1083,1360,1399,2021,2357,38874,190843,137780,
Kyrgyzstan,Kyrgyzstan,0,0,0,0,0,0,0,1,0,3,96,2653,88,0,2,4,4,0,0,
Kyrgyzstan,Lebanon,19204,104161,185723,269937,488330,290611,356170,302711,630390,451293,251095,328597,546578,336460,270133,556564,189060,97881,13509,
Kyrgyzstan,"Macao, China",29,4,63,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,
Kyrgyzstan,Malawi,365,14,474,63,5,198,3796,910,8829,16696,6957,32154,101234,125839,119860,86511,69887,108821,115151,
Kyrgyzstan,Maldives,258,1981,60,21,1,0,1,0,0,0,0,0,3,3,0,32,20,238,42,
Kyrgyzstan,Mauritius,7891,836,578,632,395,439,275,618,1292,411,369,284,590,622,1336,898,851,652,709,
Kyrgyzstan,Mexico,588,753,272,165,6935,925,402,36,70,208,10,110,61,18333,17345,23,376,28,66,
Kyrgyzstan,"Moldova, Republic of",0,194,29,0,0,0,170,143,262,0,3,9,16,0,0,33,46,30,10,
Kyrgyzstan,Morocco,22487,26801,23025,31399,72646,28630,55757,33523,45272,39516,86081,38165,25736,12491,31667,23624,21834,32883,74840,
Kyrgyzstan,Mozambique,64,189,701,4043,2603,16062,45323,169164,29987,313047,16711,909,1,1664,2,2254,564,35117,30107,
Kyrgyzstan,Oman,7957,17936,35901,30730,99914,216515,268610,199551,313391,269676,155004,203206,63638,27543,22596,39120,136714,298998,341242,
Kyrgyzstan,Namibia,0,299,259,520,1146,4066,1502,2728,0,244,256,105,4,49,0,0,30,19810,1,
Kyrgyzstan,Nicaragua,0,4,1,0,0,0,0,0,0,0,9,0,1,0,4,6,0,0,0,
Kyrgyzstan,Niger,1976,814,5,2257,23,410,32,1541,42,61,8,1285,546,491,89,243,181,1786,114,
Kyrgyzstan,Pakistan,979188,1264215,1881205,1852960,3443536,1804247,2608034,3891125,4208848,3948722,2954979,1712743,1271958,1470115,1413042,1255313,1123511,2278534,3082009,
Kyrgyzstan,Panama,81,66,271,32,180,0,0,0,0,5,0,268,0,1,0,0,0,0,10,
Kyrgyzstan,Philippines,13900,19567,45595,63561,49978,26537,76493,38811,30197,89625,22897,760619,1008791,1071578,1394481,781959,484925,50350,218186,
Kyrgyzstan,Rwanda,0,31,2,1103,1149,1847,3314,1452,1060,2002,291,7,129,1,1,1,4,1330,7333,
Kyrgyzstan,Saint Vincent and the Grenadines,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyzstan,Saudi Arabia,207614,210672,212401,210694,297225,280088,358950,442965,401048,487570,511894,477040,426600,429266,417458,518706,414606,566551,910998,
Kyrgyzstan,Senegal,6173,2,13,13909,777,750,230,656,1397,279,277,6122,1115,1413,1515,1791,1295,8272,24752,
Kyrgyzstan,India,247649,416261,4572922,6493131,10751160,7602188,9021918,14690533,17786792,17591600,15036027,5926765,4034561,6116047,7830642,9137051,5975056,9482188,13228447,
Kyrgyzstan,Viet Nam,256468,358667,144942,21845,76981,21607,372770,807926,708653,704813,611125,130606,110359,287977,2603845,3646898,3201786,4720197,6562190,
Kyrgyzstan,Zimbabwe,32136,314464,93903,167852,11077,80532,317066,800599,152723,1725,550,4194,6209,1253,61,44,480,869,265,
Kyrgyzstan,Trinidad and Tobago,0,0,0,0,4,0,0,160,17,158,265,1,22,18,16,0,13,51,1,
Kyrgyzstan,Tunisia,19011,15783,39345,13043,99777,47256,23006,30897,32652,22516,22376,20714,17627,16877,16040,18326,12415,39460,47411,
Kyrgyzstan,Uganda,3051,3982,6426,25824,27884,33146,62523,40050,21258,14116,5582,899,394,466,697,1187,11579,48869,59707,
Kyrgyzstan,"Macedonia, North",9,21,0,5,140,37,1090,1654,844,240,124,1,2,5,153,202,264,205,365,
Kyrgyzstan,Egypt,36907,842826,1084055,1242943,1601691,1154946,1524079,2786820,2690947,2602593,3515904,1749224,1411732,1398528,2317795,2155461,1988839,1216009,3329236,
Kyrgyzstan,"Tanzania, United Republic of",2452,9925,3361,43033,68173,50991,34855,65225,6644,2559,1965,1387,1768,2155,2313,3057,1823,2783,69042,
Kyrgyzstan,Burkina Faso,171,22,0,5831,2593,234,69,8084,38,45,181,289,5630,48,19,148,351,1615,3750,
Kyrgyzstan,Uruguay,0,0,0,0,0,0,23112,4869,4957,8120,4621,5324,0,4818,0,1,0,0,0,
Kyrgyzstan,Zambia,13,8,4,94,513728,400997,508683,336049,552185,217442,224670,442952,546597,463597,438830,140144,0,13,0,
Kyrgyzstan,Belarus,0,0,0,0,8,0,0,0,0,1,0,277,1547,505,0,275,903,34,,
Kyrgyzstan,Cameroon,25,3,4,685,70,1220,209,29,18131,806,231,358,501,827,1451,3312,1418,2209,,
Kyrgyzstan,Gabon,26,69,30,5,752,748,9771,5,0,0,75,0,13263,12904,0,7,24,13,,
Kyrgyzstan,Honduras,125,104,137,388,132,0,2,147,0,8,263,3,13,0,0,31,0,0,,
Kyrgyzstan,Russian Federation,673,16,0,0,15117,43,122,16,2073,1536,3893,83,125,302,96,1810,932,337,,
Kyrgyzstan,Eswatini,0,0,0,0,0,1,5,1013,528,3,87,0,3,9,1,101,111,2006,,
Kyrgyzstan,Ghana,574,171,3592,1656,2705,1449,3826,3856,6619,3132,4562,2409,3033,4112,7088,9434,,,,
Kyrgyzstan,Greenland,0,0,0,0,0,0,0,3,0,5,10,18,0,0,0,,,,,
