reporter,Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003
Brazil,Zimbabwe,0,2298,2280
Brazil,"Macao, China",180,21,74
Brazil,Burkina Faso,91,0,0
Brazil,Cabo Verde,0,0,15
Brazil,Botswana,0,0,1
Brazil,Armenia,0,0,0
Brazil,Azerbaijan,247,6894,0
Brazil,Senegal,1487,749,0
Brazil,Nicaragua,32,11,1
Brazil,Saint Lucia,15,11,24
Brazil,Zambia,14,530,64
Brazil,Timor-Leste,,,
Brazil,Bosnia and Herzegovina,,,0
Brazil,Fiji,,1,3
Brazil,Belize,67,0,0
Brazil,Gabon,61986,58123,71
Brazil,Saint Vincent and the Grenadines,0,0,0
Brazil,Guyana,151,59,215
Brazil,Samoa,0,0,0
Brazil,Mongolia,0,,0
Brazil,Guinea,315,0,
Brazil,Andorra,0,0,0
Brazil,Brunei Darussalam,8,0,0
Brazil,Burundi,0,0,2
Brazil,Dominica,16,5,0
Brazil,Georgia,3,0,0
Brazil,Kyrgyzstan,1,0,0
Brazil,Mauritania,353,48,491
Brazil,Oman,21,2,0
Brazil,New Caledonia,0,0,0
Brazil,Niger,82,16,20
Brazil,Qatar,0,23,4070
Brazil,Rwanda,11,0,0
Brazil,Sudan (before 2012),73,0,84
Brazil,Nepal,,,60
Brazil,Sierra Leone,,15,
Brazil,Lesotho,0,0,5
Brazil,Nigeria,1051300,1540968,1636714
Brazil,Anguilla,0,0,22
