reporter,Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003
Japan,Bahrain,225600,315891,445640
Japan,Kazakhstan,141958,164612,212042
Japan,Estonia,223275,224725,325648
Japan,Peru,429149,411106,368754
Japan,Morocco,166954,207356,296302
Japan,Ecuador,351301,391562,311009
Japan,Lebanon,235425,217349,269056
Japan,Egypt,365673,333276,270663
Japan,"Macao, China",130360,175031,252650
Japan,Qatar,357858,426533,512757
Japan,Guatemala,172125,204160,248379
Japan,Croatia,142837,163926,245605
Japan,Cyprus,238550,275732,251915
Japan,Jordan,175046,158600,199612
Japan,Tunisia,170863,158692,198849
Japan,Slovenia,145986,146826,204604
Japan,Yemen,,,
Japan,Sudan (before 2012),126690,117851,143462
Japan,Ethiopia,121288,183733,195624
Japan,Luxembourg,112781,110197,147403
Japan,Panama,128975,164641,193230
Japan,Trinidad and Tobago,136508,160230,161099
Japan,Bulgaria,76745,89064,137436
Japan,"Tanzania, United Republic of",150546,140234,170178
Japan,Jamaica,187519,214886,175588
Japan,Dominican Republic,216143,442274,167770
Japan,Cuba,81921,68884,107390
Japan,Serbia and Montenegro,54532,81920,
Japan,Iceland,75360,71338,107913
Japan,Brunei Darussalam,71574,205756,124296
Japan,El Salvador,124653,136291,132271
Japan,Ghana,52681,,99541
Japan,Azerbaijan,66656,48444,101489
Japan,Angola,,,
Japan,Uganda,75018,87312,90361
Japan,Mauritius,73364,75923,83402
Japan,Cameroon,84091,84660,122641
Japan,Côte d'Ivoire,54271,70915,58101
Japan,"Bolivia, Plurinational State of",58394,101308,83615
Japan,Suriname,27231,,
Japan,Nicaragua,71040,94130,81869
Japan,Paraguay,96312,55234,50032
Japan,Honduras,115532,99996,120756
Japan,Cambodia,61020,63936,78442
Japan,Andorra,43577,50018,71213
Japan,Papua New Guinea,110951,62147,65346
Japan,Malta,58262,64641,77675
Japan,Mongolia,55799,,63416
Japan,Senegal,46413,51247,57961
Japan,Barbados,44551,45036,53454
Japan,Fiji,,39266,57932
Japan,Madagascar,37054,14122,30865
Japan,French Polynesia,39179,38551,48018
Japan,New Caledonia,28938,32880,39880
Japan,Lithuania,120605,164244,218081
Japan,Belarus,22848,27211,39267
Japan,Uruguay,49698,26693,28087
Japan,Guyana,21756,22430,20729
Japan,Malawi,18631,20807,33160
Japan,Mali,40450,37520,44835
Japan,Zambia,27390,35656,24800
Japan,Bosnia and Herzegovina,,,31380
Japan,Zimbabwe,23695,62171,22432
Japan,Niger,15856,20585,25415
Japan,Gabon,56601,0,40340
Japan,"Macedonia, North",16835,22635,19346
Japan,Burundi,6157,6288,14785
Japan,Bahamas,22634,18797,22495
Japan,Guinea,23045,36242,
Japan,Mauritania,11948,13763,22371
Japan,Botswana,5352,7846,12643
Japan,Rwanda,15343,17682,23675
Japan,Mozambique,11770,89224,29787
Japan,Cabo Verde,0,14978,19692
Japan,"Moldova, Republic of",7966,5520,11708
Japan,Burkina Faso,93125,26686,16029
Japan,"Micronesia, Federated States of",,0,11622
Japan,Saint Lucia,11649,10641,12370
Japan,Benin,18519,20431,30305
Japan,Samoa,15642,7549,7785
Japan,Faroe Islands,12053,11265,12506
Japan,Grenada,8774,6444,11356
Japan,Maldives,8778,7130,10354
Japan,Kyrgyzstan,5843,6422,11826
Japan,Albania,6099,8580,8251
Japan,Togo,8138,7770,8242
Japan,Namibia,2748,3850,8607
Japan,Saint Vincent and the Grenadines,6530,6331,6594
Japan,Belize,12801,8631,10025
Japan,Latvia,4048,6460,11316
Japan,Eswatini,22376,20843,12486
Japan,Dominica,8302,4729,4994
Japan,Georgia,3177,3952,2436
Japan,Saint Kitts and Nevis,4746,7349,6521
Japan,Seychelles,9005,4248,5549
Japan,Mayotte,3211,2804,4042
Japan,Solomon Islands,3061,2431,2838
Japan,Gambia,2800,4117,2322
Japan,Sao Tome and Principe,1848,2168,2582
Japan,Montserrat,1326,1360,1265
Japan,Timor-Leste,,,
Japan,Armenia,2876,420,8681
Japan,Guinea-Bissau,,,1142
Japan,Greenland,184,114,10168
Japan,Comoros,265,103,129
Japan,Turks and Caicos Islands,0,4,0
Japan,Kenya,197260,190830,209386
Japan,Nepal,,,29168
Japan,Eritrea,,,4981
Japan,Sierra Leone,,14886,
Japan,Tuvalu,,1121,
Japan,Central African Republic,6827,7263,2859
Japan,Lesotho,1052,3805,1488
Japan,Nigeria,360258,432414,364164
Japan,Tonga,2663,4344,2267
Japan,Anguilla,2103,2050,2647
