reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004
Austria,Kenya,1257,982,4314,600
Austria,Peru,4478,759,498,583
Austria,Bahrain,4,183,348,550
Austria,El Salvador,273,549,490,549
Austria,Oman,64,76,520,532
Austria,Ecuador,217,418,455,417
Austria,Lebanon,452,296,430,415
Austria,Cuba,145,177,893,395
Austria,Uruguay,1014,834,1431,382
Austria,Madagascar,341,110,311,352
Austria,Georgia,441,471,271,311
Austria,Seychelles,1139,729,4,293
Austria,Namibia,126,168,287,286
Austria,Papua New Guinea,76,17,110,285
Austria,Yemen,,,,239
Austria,Costa Rica,199,299,303,220
Austria,Kuwait,211,105,42,193
Austria,Saudi Arabia,522,127,0,193
Austria,Honduras,351,1067,98,188
Austria,Senegal,0,151,2442,167
Austria,Ghana,289,,109,155
Austria,Trinidad and Tobago,113,13,0,148
Austria,Paraguay,45,11,137,139
Austria,Gabon,2,10,7,103
Austria,"Venezuela, Bolivarian Republic of",6,19,46,100
Austria,Botswana,20,113,296,83
Austria,"Tanzania, United Republic of",48,88,30,80
Austria,Côte d'Ivoire,45,182,44,70
Austria,Jamaica,55,264,54,68
Austria,Togo,0,0,0,52
Austria,Guyana,0,0,0,40
Austria,Ethiopia,22,18,6,27
Austria,Fiji,,24,14,24
Austria,Andorra,9,74,52,22
Austria,Burkina Faso,8,14,17,19
Austria,Suriname,0,,,17
Austria,Brunei Darussalam,20,4,26,11
Austria,Bahamas,0,0,40,10
Austria,Mozambique,0,2,0,10
Austria,Mali,14,4,1,4
Austria,French Polynesia,131,6,0,2
Austria,Sudan (before 2012),3,1,3,2
Austria,Mongolia,5,,2,1
Austria,Barbados,130,90,69,1
Austria,Grenada,0,0,0,1
Austria,Faroe Islands,666,493,484,0
Austria,Algeria,25,15,3,0
Austria,Belize,0,0,0,0
Austria,Cameroon,0,31,102,0
Austria,Cabo Verde,0,1,0,0
Austria,Gambia,1,0,0,0
Austria,New Caledonia,0,0,0,0
Austria,Rwanda,1,0,0,0
Austria,Saint Lucia,0,0,1,0
Austria,Saint Vincent and the Grenadines,0,0,0,0
Austria,Eswatini,47,0,0,0
Austria,Nepal,,,574,
