partner,reporter,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Japan,Philippines,7983390,7206100,7918337,7304148,7707063,6208401,7841291,8866494,9881269,12048496,13918860,12381197,11674108,10229733,9473708,10632444,9924293,10722304,11094094,
Japan,Rwanda,11,342,182,59,143,395,2189,1053,2173,1726,2427,4809,1549,1703,1946,2199,1518,2212,3097,
Japan,Saint Vincent and the Grenadines,0,12,25,20,0,0,0,4,0,1,0,0,1,0,43,0,36,0,0,
Japan,Sao Tome and Principe,0,80,0,0,0,0,0,0,0,0,0,24,10,0,0,1,0,0,0,
Japan,Saudi Arabia,225485,299689,294788,281850,357527,309102,268416,256628,383596,666988,806703,633135,721429,980560,971897,809702,665093,27359569,40770707,
Japan,Senegal,12525,9131,13380,11978,8672,3182,3965,10395,10574,4206,6406,6682,7138,5535,12321,16321,10733,15635,15396,
Japan,India,1847648,2455239,2804220,3263389,3624209,3215709,4805077,5592608,6415550,7325476,5756879,4453754,3826808,4499205,4750985,4815593,4043285,6077163,5699962,
Japan,Viet Nam,3542130,4340272,5240087,6089978,8467750,6335602,7727660,11091713,13064524,13544245,14674923,14100341,14671489,16792128,18833675,20426602,19269479,20117892,24228394,
Japan,Zimbabwe,38993,8888,13792,19471,4773,4939,21653,7479,1035,225,850,207,955,76,525,52,28,98,157,
Japan,Trinidad and Tobago,781,763,72387,75801,130715,6474,210,18078,12824,31277,108792,19800,13234,4037,21741,2238,5374,33405,42209,
Japan,Tunisia,22489,22280,26766,38244,73443,54472,59850,106721,90221,72924,42779,26496,32122,17384,12407,22551,36432,47801,32988,
Japan,Uganda,5975,5220,3943,5310,8233,6711,2363,3887,5695,4709,6110,14649,7915,19613,18204,12234,5176,6763,8597,
Japan,"Macedonia, North",2723,8403,1227,670,1287,3163,934,1106,1475,1624,1226,1118,701,1224,592,959,864,751,1622,
Japan,Egypt,57692,121906,223235,475174,877867,104863,188909,362173,1007358,456784,363152,126014,49457,63757,132665,151492,153033,545218,238006,
Japan,"Tanzania, United Republic of",64919,72284,82434,64165,147794,178407,217461,356177,298895,221192,247806,230444,138110,74063,66032,63309,55048,67473,89046,
Japan,Burkina Faso,874,1786,2519,1809,1400,1795,918,2415,1832,56249,29041,15792,16102,28675,4065,7406,8290,4656,2898,
Japan,Uruguay,15116,32077,44366,32287,43877,5108,8822,10152,10205,11528,12979,12650,10248,9203,10620,27511,20900,53704,61645,
Japan,Samoa,781,340,901,436,464,296,151,260,939,309,141,2034,1649,1591,1555,2139,1820,1049,511,
Japan,Zambia,6836,29854,3654,37350,41573,2218,6911,3865,993,57251,79541,81876,50529,33064,25182,14277,698,1993,0,
Japan,Belarus,2640,4456,7006,38514,7014,2810,3617,12194,15135,21512,12522,18110,11903,16682,17044,28456,23664,9057,,
Japan,Cameroon,2719,1278,1133,1080,1042,837,414,1523,1990,1842,2608,1583,1269,1036,1195,25970,2464,1460,,
Japan,Gabon,2040,5233,3654,349971,65898,5461,10074,3530,754581,837123,531676,41600,2685,5469,4995,4767,2638,9191,,
Japan,Honduras,13493,15761,20600,19652,26854,19492,24539,45653,41526,26053,33581,21705,12566,20767,22844,18428,29979,40158,,
Japan,Russian Federation,3403888,3740270,4624672,7490643,10429043,7262993,12493562,14234690,15588027,19667508,19830781,14190916,9384192,10500532,12453419,11353033,9053904,10726012,,
Japan,Eswatini,0,0,108,82,935,1145,251,296,615,607,687,456,444,499,1673,921,910,1491,,
Japan,Ghana,37035,51525,72791,77423,19583,97180,41439,65849,90646,78522,108856,130050,150871,123107,166269,303097,,,,
Japan,Solomon Islands,4171,4978,12923,10542,4293,2332,1412,999,3145,1282,4203,6615,3183,2167,1077,,,,,
Japan,Greenland,2246,2503,818,0,0,143,544,0,0,0,0,0,0,0,0,,,,,
Japan,Algeria,121361,5622,55395,257531,856718,220874,125952,235680,854486,1038756,1267598,595564,163749,249455,,,,,,
Japan,Saint Kitts and Nevis,649,67,8,180,165,3,8,0,4,0,0,0,0,0,,,,,,
Japan,Guinea,9,34,18,879,233,177,95,12,20,40,7,34,1096,,,,,,,
Japan,New Caledonia,220830,203567,208679,397196,277087,192775,238716,332581,202355,179721,248058,169470,,,,,,,,
Japan,Yemen,125302,395890,148509,406711,113353,341879,66599,87309,103625,241043,10174,27843,,,,,,,,
Japan,"Micronesia, Federated States of",3002,2010,748,660,0,0,0,0,0,0,,,,,,,,,,
Japan,"Venezuela, Bolivarian Republic of",195038,190537,182716,202689,31746,5924,8793,12158,0,1076,,,,,,,,,,
Japan,Sudan (before 2012),327990,371953,297805,61407,700754,147654,492928,315298,,,,,,,,,,,,
Japan,Syrian Arab Republic,82700,25354,7440,32916,90860,4522,69695,,,,,,,,,,,,,
Japan,Faroe Islands,24333,20929,20430,21844,21155,10189,,,,,,,,,,,,,,
Japan,Mayotte,18,0,0,9,18,77,,,,,,,,,,,,,,
Japan,Serbia and Montenegro,883,,,,,,,,,,,,,,,,,,,
